Character Name,Dialogue
罗威尔,这次发生的扭曲……虽然哭泣之子不比钢琴师，但依旧造成了重大伤亡。
梅,哭泣之子出现在V公司的巢中而非后巷，所以各家协会都相当焦头烂额呢。
塞希尔,科长先生，您适才提到的伤亡人数是多少？
罗威尔,约8万余人。
梅,那总比戕害30万人的钢琴师好上不少。
邵,不。这远比钢琴师严重。
邵,与把9区夷为平地的钢琴师不同，哭泣之子是出现在巢中的，这一点尤为致命。
罗威尔,正是如此，因为那是必须确保安全的巢。
罗威尔,比起那个，邵……你是什么时候到的？
邵,1科对此也十分重视。故来听听2科的意见。
塞希尔,邵科长您还是不坦率呢。
罗威尔,塞希尔！
邵,咳嗯……
罗威尔,……无论如何，协会主席的目光真是令人如有芒刺在背。
罗威尔,梅，请简要介绍一下截至当前收到的有关哭泣之子的情报。
梅,遵命。据推测哭泣之子的原型为菲利普，一位黎明事务所收尾人。
梅,黎明事务所是位于V巢的4级事务所。
梅,其作为六协会直属事务所，有着不错的构成与业绩。
邵,如此说来，萨尔瓦多不就在那儿？
梅,正是如此。
塞希尔,虽然盛兴一时，但如今已是明日黄花。
梅,……更重要的是，黎明事务所全员阵亡于图书馆后已经停运。
梅,然而，菲利普是个例外。
梅,菲利普是一名5阶收尾人。独自幸存的菲利普投奔了合作的楔子事务所。
罗威尔,而后楔子事务所也被图书馆吞噬。
邵,你所说的这些内容根本无从辨别……是否有些过于主观臆测？
梅,可不要认为这仅仅是推测……
梅,有收尾人声称在图书馆附近目击到一尊正在哭泣的汉白玉雕像。
梅,那哭声在很远的地方也能听到，应当是放声恸哭了许久。
梅,尔后雕像的形态也逐渐发生变化……
邵,……莫非是变回了菲利普？
梅,……对。尽管并不完全，但是目击收尾人复述的外观与文件中菲利普的外貌高度一致。
塞希尔,不过这一个体无论皮肤还是衣着的材质……据称都是蜡质的。
罗威尔,……已然不是人类。
塞希尔,随后菲利普回到了他位于V巢的事务所哀鸣哭泣了许久。
塞希尔,然后它就开始毁坏周遭除黎明事务所以外的一切事物。
