Character Name,Dialogue
伊織,苍蓝小鬼。比想象中更快地打开了局面呢？
阿尔加利亚,这都是仰仗师父的指点。
阿尔加利亚,我走到这里，能和这么多好朋友相处……都是多亏了师父呀。
伊織,真是难为情。孩子没说过的话都说出来了啊。
阿尔加利亚,老师还是不想同我们一起吗？
伊織,抱歉啊，我对音乐可是一窍不通。
阿尔加利亚,真是遗憾。我是多么想报答师父啊。
阿尔加利亚,在我彷徨无措的时候，是师父您让我见到了光明。
阿尔加利亚,说实话，以前可真是像个神志不清的疯子。
伊織,哎呀，你这孩子说什么呢。
伊織,说来，进展顺利吗？
阿尔加利亚,傀儡师、血红之夜、狼之时刻、昨日之约、齿轮教团教主、8点档马戏团、不来梅乐队、哭泣之子、8大主厨之一……
阿尔加利亚,非常顺利地召集了团员。
阿尔加利亚,并依师父的吩咐，同他们一起培育了图书馆。
伊織,成长过快，也没注意到已经过度了吧？
阿尔加利亚,我很期待呢？
阿尔加利亚,能最自我地活着的那个瞬间就要到来了……
阿尔加利亚,其实很孤独啊。真是太孤独了。
阿尔加利亚,始于绝对无法互相理解的信念的孤独。
伊織,你们两人从小就在忍受残酷，应当更加特别吧。
阿尔加利亚,没错。我只要妹妹还活着……
阿尔加利亚,安吉丽卡应该还没死去，仍旧活着。
阿尔加利亚,但是，安吉丽卡仍是离开了我的身边……
阿尔加利亚,我的孤独深入骨髓。即使孤独，也想要活下去。
阿尔加利亚,无论如何，也无法了却自己的人生。
阿尔加利亚,我察觉到了。我只是搁置了。
阿尔加利亚,只是把人生的意义强行推给给安吉丽卡，然后一味地逃避。
阿尔加利亚,即将痛彻都市的演奏，将是我寻找生存意义的演奏……成为我的人生的证明。
阿尔加利亚,我们再也不会感到孤独了。
阿尔加利亚,向这沉闷而孤独的都市道别吧。
阿尔加利亚,人人都将像钢琴师那般携手一同演奏。
伊織,令人感动呢。
阿尔加利亚,为安吉丽卡的葬送之曲……没错。将安吉丽卡展现的优美旋律散布到都市的每一个角落，您不是说需要扭曲的力量吗。
阿尔加利亚,托您的福，我才能召集到这么优秀的团员。
阿尔加利亚,来，请师父也来看看。这些团员并不是被都市侵蚀的人类。
阿尔加利亚,被人抛弃，被说三道四……被夺去了珍贵的事物，在痛苦与悲伤中挣扎……
阿尔加利亚,从那深沉黑暗的角落中爬出来，变成自己真正姿态的人……
阿尔加利亚,真实的力量只能提取自肮脏而深沉的绝望中……还有比这更加美丽的事物吗。您不这样认为吗？
阿尔加利亚,这样的我们……会将那曲调再次镌刻在整座都市中。
伊織,也不是不理解你胸中的激昂……但还没完成，不是吗？
伊織,一定要完美地获取图书馆的光。
阿尔加利亚,哈哈哈……啊，不错。稍微有些像小孩子一样兴奋起来了啊。
阿尔加利亚,明明还没到手呢……
阿尔加利亚,那光……若即若离……
阿尔加利亚,……
阿尔加利亚,伊織。我很好奇，你为什么还活着。
阿尔加利亚,您活下去的理由，不是在很久以前就消失了吗？
阿尔加利亚,你才是比任何人都孤独。
阿尔加利亚,却依然说不会同我们一起。
伊織,真过分呢，小家伙。我活下去的理由，起码一个还是有的吧？
阿尔加利亚,师父真的知晓一切么。
阿尔加利亚,来拜访我，帮我们准备演奏，真是非常感激。
阿尔加利亚,真的是非常纯粹地……因为同情我而出手相助吧。
阿尔加利亚,然而……我们心中的那个人却扰嚷着，不是那样的。
伊織,……心中的人？
阿尔加利亚,嗯。用这世上从未听闻过的，优美清澈的嗓音向我诉说。
阿尔加利亚,伊織……那是真实吗？
阿尔加利亚,如此一来，我们的师父大人帮助我究竟是有何图谋呢？
伊織,是啊。究竟是为什么呢。
伊織,是因为见到你会令我想起儿子吗……
阿尔加利亚,什么？哈哈哈……
阿尔加利亚,啊，伊織……不要总是让我落泪啊。
阿尔加利亚,你儿子不是在40多年前就死了吗……
伊織,……
阿尔加利亚,……协助的真实理由是什么。
伊織,还以为你不过又天真又愚蠢……看来交些朋友后稍微长了点脑子？
伊織,我为了到达想去的地方才帮助了你。
阿尔加利亚,哼……果然有想去的地方啊。
阿尔加利亚,是什么地方能令您如此殷切地渴望呢……
阿尔加利亚,超越次元，可以到达任何地方，能够知晓任何事情的您………
伊織,小家伙。这力量可不是毫无代价的。
阿尔加利亚,已经够了……
阿尔加利亚,已经活得够久了，伊織。
伊織,……
阿尔加利亚,反正不是知晓我会这么做吗？
阿尔加利亚,知晓一切的师父最后又会如何呢……
普鲁托,这坚实的结界，就算是您也无法轻易地迈出吧。
伊織,……管风琴。
艾琳,您绞尽脑汁，依旧远远不足以与思想齿轮相比。
伊織,……竖琴。
塔尼娅,在逃掉之前卸了胳膊腿儿吧。
伊織,……中提琴。
菲利普,同是失去了珍重之物的您……应当能够理解这样的我们吧。
伊織,……大提琴。
奥斯瓦尔德,没错！草莓汁腌制的舞蛇表演怎么样？果肉会嘭！嘭！地爆炸哟！
伊織,单簧管……
不来梅,咕咕咕！！汪汪咕嘤！！！嘤嘤咴汪咴咴~！！
伊織,圆号……大号……长号。
伊莲娜,你的血管是什么味道的呢……
伊織,第一小提琴……
格蕾塔,不方便生吃？把血管拔出来做成意大利面吧！奶油番茄酱不错。咯咯咯！
伊織,……鼓。
在宪,请留一些骨肉。我想用作傀儡戏……
伊織,第二小提琴。
阿尔加利亚,伊織……我们已经不需要您了。
伊織,有趣。嘛……
伊織,于你们来说短暂，但对我来说是一段漫长又贵重的时光啊。
阿尔加利亚,闲话就少说两句吧。
伊織,我也该动身了……
艾琳,阿尔加利亚大人！是邀请函！
塔尼娅,切……！快拦住她！
阿尔加利亚,伊織，我只想问一个问题。
伊織,安吉拉！迎接来宾吧！
阿尔加利亚,……你真的听不见那人美妙的声音吗？
