Character Name,Dialogue
Chesed,Netzach~打听件事……
Chesed,嗯？Gebura和罗兰也在呢~怎么啦？
Tiphereth,如你所见。一起出来摸鱼鬼混呗。还有，这都是些什么呀……酒？
Tiphereth,各位都清醒点！都怪那个没药救的酒鬼，成何体统！
Netzach,你好啊，Tiphereth。
Tiphereth,我好个头！安吉拉要是看见这副模样，绝对不会善罢甘休吧？
罗兰,上次可是被骂惨喽……
Gebura,还在和Netzach聊着呢，就摸进来个黑不溜秋的小子。
罗兰,哼……我就蹭一杯嘛……
罗兰,说来你们是约好了要聚一聚吗？全都挤来这层。人气很高嘛Netzach~
Tiphereth,怎么可能约这种酒会啊！还是和Netzach这家伙！
Chesed,Tiphereth说有事想问，就过来喽~
Netzach,有什么想问的，那就问吧……
Tiphereth,就你这样还能好好回答吗！算了。下次再说。
Tiphereth,酒气熏天的……在酒味渗进书里之前，多少控制点度吧！
Netzach,……啊疼。别打了。
Gebura,……
Chesed,Gebura~这里不能吸烟吧~旁边还有司书路过呢~
Gebura,……
Tiphereth,Chesed说得没错！烟灰落到书上怎么办。这儿本来就到处都是树木啊！
Tiphereth,虽然不知道会不会失火，但看起来还是超级不妙啊。
Gebura,……知道了。
罗兰,好像Tiphereth的话更能听得进去。
Chesed,习惯啦~
Netzach,这种聚会也不太常见……你们要不要也来一杯。
Tiphereth,烦不烦啦！我们才不会掺和这种聚会啊！！
Tiphereth,本来稍微改观了一些，现在又觉得讨厌了。果然换人才是正解吧！
Netzach,说得好过分……
Chesed,不用放在心上，Netzach~Tiphereth她也不是真心这么想的~
Chesed,我们回楼上后还有事情要办。感谢你的提议，不过恕难从命喽~
安吉拉,你们的大嗓门在楼下都能听得一清二楚。
Yesod,这么喧哗，发生了什么事。
罗兰,……哦，没什么大事，就交流交流、增进感情。
Yesod,……所以为什么地上会有啤酒罐在滚。
罗兰,哈哈……
Tiphereth,你们俩怎么在一起？
安吉拉,我拜托他帮忙寻找需要的书籍。
Yesod,相关书籍中，我认为语言层的书籍更优，于是一起上楼来了。
Gebura,啊，是吗？差不多该起来了。喝得不错，Netzach。讲的故事也挺有趣的。
Gebura,那么Yesod。是哪本书？
Netzach,没有挨骂啊。
Tiphereth,还不如训一顿呢……
