Character Name,Dialogue
卡洛,感谢诸位出席本次拇指会议。
全员,是，二老板。
卡洛,向在场的家族表示感谢。我看看……
卡洛,十九个席位满座。除去某一家族，其余全部到场。
卡特丽尔,未到场的是卢马诺斯集团。此前遭漆黑噤默袭击后，该集团至今仍在内部重组。
卡洛,依旧如此吗……感谢告知。
卡洛,将那些朋友剔除吧。我不需要长不出新牙的老狗。
卡特丽尔,是。
卡洛,今天要讲的不多。
卡洛,请诸位从L巢及图书馆的业务中退出，交由拇指全权接管。
卡洛,向近日来不辞辛劳的家族致以由衷的感谢，并且……
黑云会副会长,扯淡！你可知我们死了多少人！
拉米埃尔家族二老板,我们家族为此投入了巨额资金！
卡洛,谁允许你们开口的？
鲍里斯,长辈讲话时要把嘴闭严实喽。为啥明知故犯呢？
丹尼斯,未经上级许可擅自发言者，当碎其颚……这是规则。
拉米埃尔家族头目,真给我丢脸。
黑云会会长,请恕失礼。在下定会对这少根筋的畜生严加管教。
黑云会会长,但与此事无关，在下亦有相同的困惑。您为何在这关键时期要求吾等退出？
卡洛,我能理解你的不满。迄今为止，诸位为在重新划分后巷前占领地盘，已付出惨痛代价。
卡洛,依我个人意愿，我的确想为在座的每个家族分配一片区域。
卡洛,奈何“教父”大人另有旨意。只得服从。
卡洛,外界形势正逐渐偏离预期。
卡洛,除去食指，已有另一方势力卷入其中。正是劫走面料的那伙人……
黑云会会长,在下惭愧。
卡洛,不必在意。斩下左手我便可宽恕。
黑云会会长,是！
卡洛,眼下不应被此等琐事左右。
卡洛,必须优先贯彻教父大人的意旨。
夜锥组组长,……也不知道教父大人怎么想的。
丹尼斯,……质疑上级命令者，当枭其首。
卡洛,胆敢质疑教父大人的意旨，此等不洁思想从根本便已朽坏。
卡洛,今夜肃清夜锥组全员。
卡特丽尔,是。即刻传达。
拉米埃尔家族头目,老实听着不就行了……现在的年轻人啊就是浮躁。
卡洛,教父大人亲口告诉我。食指……
卡洛,是也。L巢寸土不让，休教食指侵占任何地区。
卡洛,然而诸位难以应对食指代行者。故要求退出。
黑云会会长,那么此刻应当养精蓄锐。在下明白您的良苦用心了。
卡洛,这项旨意业已传至拇指其余二老板及其家族手中。
卡洛,我们想要霸占的，远非这区区几条巷。都听明白了？
全员,是，二老板。
安吉拉,拇指的组织结构似乎非常僵化？
罗兰,扫一眼食指就能明白……每根手指都有一套极端的规则和命令体系。
罗兰,虽然具体情况有些不同，可一旦有人违反规则，那他当场就会完蛋。至于处理方式则因手指而异了。
安吉拉,横竖都是为了在都市生存下去。
罗兰,就是那样。
安吉拉,唯有钻入坚而不垮的外壳才能得以生存。
罗兰,而钻到硬壳的核心，凌驾于后巷的那5个帮派会被授予手指的名号。
罗兰,不管怎么说，即便对方是拇指，来到这图书馆也是要被好生招待的。
安吉拉,看来拇指以枪械为主要武器。
安吉拉,与先前遇见的句点事务所不同，他们还会使用不同类型的子弹。
安吉拉,不仅如此，枪械本身还能当作近战武器使用。
