Character Name,Dialogue
璐璐,啊~为什么我们事务所这么冷清呢？
璐璐,街灯事务所好歹是Zwei协会官方指定的附属事务所哎。
璐璐,更夸张的是，我们的辖区在合同期内的犯罪率居然一直是0%！！！
马斯,说到我们的辖区，其实只有两条街道而已。
马斯,只要耐心等待，会有委托找上门的。
璐璐,是是是，然后您就在这里干等一辈子吧。我已经在考虑要不要跳槽到别的事务所去了。
马斯,我可不认为你有跳槽的资本。
璐璐,我有很多人脉，哪像你这种托关系空降的家伙？
璐璐,也许令堂真的是当传奇收尾人太忙没功夫管你吧，谁知道呢，反正我在别家事务所有一群立马就能帮上忙的亲友。
马斯,嚯，那你很棒棒哦。
璐璐,是吧是吧~我真的很棒棒对吧？
璐璐,……喂！！！冰箱里的蛋糕是被你吃了吗！！！！！！
衫,孩子们，我接到活了。
衫,哎……你们……又在吵架……
璐璐,这狗东西偷吃我的蛋糕！！
马斯,反正昨天就过保质期了，我只是提前帮你处理掉而已。
璐璐,呃啊啊啊啊啊啊！！！！那是我的蛋糕！！！就算过期了也得是我亲手把蛋糕扔掉！！！
马斯,说起来，前辈您接到什么活了？
璐璐,不要岔开话题！！！！
衫,唉……我会再给你买一块的，现在先消停一会儿，好吗？
璐璐,可是……那块是限量款……
衫,我还没拿定主意，不过这份委托是从协会的一个朋友那里接来的哟。
璐璐,衫前辈在协会里的朋友……难道是那位Zwei的直属收尾人？
衫,没错，就是她。只是这份委托还没有在하나协会那边正式登记。（注：하나-韩语中意为“一”，读作Hana）
衫,你们听说过“图书馆”吗？
马斯,听过很多传闻，这可是那些耗子的热门话题。
璐璐,据说图书馆里的书很值钱。
衫,对，我从朋友手里拿到了那座图书馆的邀请函。
马斯,如果这不是正式委托，恐怕我们拿不到多少报酬吧？
璐璐,而且还不能登记到协会的官方记录上。
衫,嗯……我认为协会有自己的考量。
璐璐,我们真的要去一个完全不了解的地方？
衫,那位朋友向我许诺，只要我们顺利完成，就能拿到等同于“都市传说”级委托的报酬……
马斯,……
璐璐,……
衫,呃……那要不算了……？
马斯,接了呗！
璐璐,没办法啦，虽然风险超大，但能赚不少钱呢，反正最近闲着也是闲着。
衫,谢谢大家！那就像往常一样开工吧。
安吉拉,Zwei？하나？
罗兰,说的是收尾人协会，只成立事务并不能解决所有问题。
罗兰,全市共设有12个收尾人协会，它们各自负责不同领域的工作。
罗兰,大大小小的案件和委托通常会先按领域进行分类，接着统一上报给对应的协会。
安吉拉,也就是说，事务所的工作由协会管理。
罗兰,没错，协会有时会向各级事务所下发公文，有时也会派出直属收尾人处理。
罗兰,其中，作为总会的하나协会全面管理着所有收尾人。他们有权对收尾人进行评级，批准事务所成立。
安吉拉,那么事务所也有评级吗？
罗兰,当然，协会下发的委托也分为不同等级。
安吉拉,看来他们真的很喜欢评级。
罗兰,那样就能一眼看出来啦。
安吉拉,看出什么？
罗兰,一眼看出一个人到底有多少价值……
罗兰,想想看，没有哪个蠢货会在都市理直气壮地喊出“我超特么能干”。
罗兰,人们都在忙活各自的事务，哪有人会悠哉游哉地深入探讨彼此的价值呢？
罗兰,如果知道对方的评级就会方便许多，不需要过多的交流就能得知对方高我一等还是低我一档。
安吉拉,听起来都市人已经放弃了思考和了解。
罗兰,一旦你体验过都市的生活，就不会说出那种话了。
罗兰,不管这是不是自己的意愿，你终究要和数不清的人挤在一起苟且度日。
罗兰,人们一直在努力寻找适应都市生活的方法，这只是其中之一。
璐璐,真拿我们没辙，竟然会接受这样的工作……
马斯,别抱怨了，能接到委托已经是三生有幸了。
璐璐,知道知道！这么明显的事用得着你指出来吗！？
衫,哎哎，冷静孩子们，没必要置气。
衫,真不知道你俩算死党还是冤家。
璐璐,您说什么呢！请不要把我和这个游手好闲的家伙联系在一起！
马斯,我也不想和她扯上关系。
衫,好啦，好啦。事成之后，我们一起去朱莉餐厅吃顿好的吧，我来请客。
璐璐,好耶！
安吉拉,各位来宾，欢迎你们的到来。你们的关系看起来真不错。
马斯,你是？
璐璐,抄家伙。
安吉拉,这位来宾，您不必如此警惕，图书馆的试炼尚未拉开帷幕。
安吉拉,我是图书馆的馆长兼司书，安吉拉。
衫,您好，我是街灯事务所的衫。
衫,我们收到了图书馆的邀请函，不知您能否回答我的一个问题？
安吉拉,您但说无妨。
衫,这张邀请函并非直接到手，而是别人转交给我们的，这样也没关系吗？
安吉拉,当然，只要您最终得到了邀请函，并遵循自己的意愿使用了它，那就没有问题。
衫,……原来如此。
安吉拉,愿您找到想要的书。
马斯,哼，她比我想象的要客气许多。
璐璐,你们觉得她是人吗？
璐璐,我是说，虽然她看着像人，但我总觉得哪里不太对劲……
璐璐,只是我不知道该怎么形容……
衫,她……也许是台机器。
马斯,没想到现在还能看见如此接近人类的机器……
衫,总之先专心工作吧。
衫,再说一遍，不要太勉强自己。要是你们察觉到一丝危险，就马上撤退。
罗兰,呵，那些家伙真是超级新人啊。
罗兰,作为收尾人还产生这么紧密的羁绊，可是要吃大亏的。
罗兰,算啦，反正他们已经得到教训了。
安吉拉,说得就像你已经看惯这些了。
罗兰,……
罗兰,哦是的，我经历过太多这样的桥段了。
罗兰,关系亲密倒也不是不行，但相应的风险实在太大。
罗兰,真正的收尾人深知长痛不如短痛。
安吉拉,你的意思是，只要和他人保持距离，就不会因为失去他人而感到痛苦？
罗兰,是啊。讽刺的是，那些连面对死亡的心理准备都没有做好的家伙，却接下了一份需要夺人性命的委托。
衫,对不起……事情发展成这样都是我的错……
璐璐,……
衫,我们事务所再也不插手关于图书馆的委托了……
衫,这件事自打一开始就远超我们的能力范围……我已经向Zwei递交了报告。
璐璐,你说什么？那马斯算什么？他的死对你来说毫无意义吗！！！！
衫,对不起……想骂就尽管骂吧。
衫,都怪我判断失误，我们只是负责治安维和的事务所，根本就不该从事勘察战斗……
璐璐,冰箱里的蛋糕……是衫前辈买的？
衫,蛋糕？啊，我还没来得及去……
璐璐,我去外面透透风……
璐璐,呜啊啊啊啊啊啊！！！！你这个笨蛋！傻瓜！！
璐璐,太不像话了……给女孩子买蛋糕可不是你的作风啊……
璐璐,你总说你妈妈是个了不起的收尾人……
璐璐,你总爱炫耀那把又大又蠢的剑，还说那是你妈妈亲手挑的礼物……
璐璐,你总是装模作样地说总有一天你会像你妈妈那样强……
璐璐,！！！！！
璐璐,马斯之书……死在那里的人，都变成了书……？
璐璐,我绝不允许那些混蛋拿他开玩笑……绝不……
璐璐,跟衫前辈说的话，肯定会阻止我吧……
璐璐,还是我一个人去吧……我有几个亲友……
罗兰,我的天，这是不是有些多余了？说实话看得我有点心疼。
安吉拉,真是有趣，不久之前某个“前收尾人”还在宣扬长痛不如短痛。
罗兰,一码归一码。
罗兰,话虽如此，如果对每一次不幸都作出反应就纯属浪费了，谁的生活又没有这样那样的负担呢。
罗兰,我有我的遗憾，别人也有别人的。
罗兰,未经允许就肆意向旁人揭露自己的伤疤是很失礼的事。强迫别人了解一些他们没有必要了解的故事，只会给人徒增困扰。
罗兰,他们背负的东西已经够多了，再去跟他们分享自己的不幸只会让人觉得你是在炫耀自己的包袱有多重，也许能博得一点同情吧，但肯定会让人感到不悦。
罗兰,适当地表露悲伤，适当地表露喜悦，适当地问候他人，适当地接受离别，这对彼此都好。
安吉拉,这种待人方式反会令我更加疲累。
罗兰,最重要的是，我可不能让情感影响我在图书馆里的工作。
罗兰,不管怎样，我必须时刻保持理性，好帮你收集那些都市的书。
安吉拉,没错。如果你失去了利用价值，就没有理由留你在这里了。
罗兰,那么按照馆长大人的意思，为了生存，我会做自己力所能及的事。
安吉拉,各位——
璐璐,闭，嘴。我不需要一堆恶心的废铁来问候我。
璐璐,我要取回马斯的书，杀掉所有怪物，打飞你的脑袋！
安吉拉,亲爱的来宾，恐怕您的第三个愿望难以实现。
璐璐,我叫你闭嘴！！
安吉拉,唉……愿您找到想要的书。
安吉拉,你会有罪恶感吗？
罗兰,如果说一点感觉都没有，那肯定是在自欺欺人，可是……
罗兰,这种廉价的悲剧，我已经看过无数次，也经历过无数次了。
安吉拉,虽然你自称“9阶废柴收尾人”，但你说起往事来就像一个久经沙场的老兵。
罗兰,我也有自己的故事嘛，想知道的话可以告诉你哦？
安吉拉,你说过这样做很失礼，对吧？
罗兰,……
安吉拉,如果我真想知道，把你杀掉做成书即可。
罗兰,嚯……好像听到了什么不得了的话……
罗兰,那话说回来，你感觉如何？现在我倒挺好奇馆长大人的感想。
安吉拉,我？没什么感觉。我早已观察过无数人千篇一律的羁绊和离别。
安吉拉,因此，我一直在努力构建一种规则。能让人们自由选择自己的命运，不受任何强迫的规则。
罗兰,我的意思是，没错，他们都有看过邀请函上的警告，也同意签上他们的大名，但……
罗兰,我们是不是有点玩赖？在这里你永生不灭，而我能在死后一次又一次地站起来。
安吉拉,再说一遍？你刚才是在说我的规则很正派，对吧？
罗兰,对对对，我们的馆长大人超正派的，起码比都市里的那些破事要正派多啦。
