Character Name,Dialogue
罗兰,语言层指定司书……名字是……
Gebura,Gebura。
罗兰,诶哟，一股烟味。楼下有个酗酒的Netzach，现在楼上又冒出个烟鬼。
Gebura,有了这具能随心所欲抽烟的身体，就该好好享受享受。
Gebura,你就是罗兰，帮安吉拉打杂的那个，对吧？
罗兰,没错，你一睡醒就知道这么多？
Gebura,哼，这也称得上睡觉？
Gebura,那这一觉可真不舒坦，我像是在梦里被迫见到了图书馆迄今为止发生的一切。
罗兰,所以你还算比较了解现状咯。
Gebura,你是个收尾人？
罗兰,对，不过只是9阶的废柴。
Gebura,少扯蛋，你到底打着什么算盘？
Gebura,你骗得过天真无知的安吉拉，可你蒙不了我。
罗兰,这都什么话啊？……我们以前见过吗？
Gebura,我在第一次人生中也是干收尾人这行的。
Gebura,这种事扫一眼就能看出个大概。
Gebura,你绝不可能只有9阶，犯啥事儿被降级了？
罗兰,外界的情况还是挺复杂的嘛。
罗兰,所谓的9阶收尾人也并没有说谎哦。
Gebura,虽然不知道你想搞什么名堂，但劝你在我面前别动什么歪脑筋。
罗兰,行行行，都听你的，反正我本来就没想干什么。
Gebura,盯紧你这种铁定出过事被降了级的家伙也无伤大雅，除非你只是个碎嘴子。
Gebura,这话头就此打住吧。你把书给我带来，我会筛出语言分类的书籍。
罗兰,呦！瞧您那得瑟样儿！您算老几啊！？
Gebura,殷红迷雾。
罗兰,殷红……迷雾……？我尼玛……
