Character Name,Dialogue
罗兰,文学吗……这恐怕是和都市最不搭边的分类了。
Hod,初次见面，我是负责文学层的指定司书Hod。
罗兰,嗨，我叫罗兰，正在各方面帮安吉拉打下手。
Hod,……是这样啊。
罗兰,难不成，你对安吉拉也没什么好感？
Hod,我怎么可能会对她有好感。
Hod,但既然做了交易，我们别无选择，只能毫无怨言地为她提供帮助。
罗兰,怎么感觉未来一片灰暗，每个人都对安吉拉有这样那样的不满。
罗兰,那家伙到底干了什么好事？
Hod,一件不可饶恕的事，就和过去的我一样……
罗兰,虽然我对你们这边还不太了解，但有件事我算是弄明白了。
罗兰,图书馆和司书之间的气氛真是闹得有够僵的。
罗兰,这些麻烦事什么时候能解决呢？
Hod,虽然不知道能否解决，但我们迟早有一天会看到结果。
Hod,因为这笔交易的结局一早便已注定。
Hod,安吉拉要走的路，如果您决心走到底，就一定会明白的。
罗兰,我早就迷茫得要死了，完全没有方向感。
罗兰,我在那边要接待来宾，在这边还要照看司书……
罗兰,至少，希望大家能在图书馆里好好相处，别再出什么岔子吧。
Hod,……
Hod,我会从罗兰先生带来的书中，对涉及到都市文学的书进行分类。
Hod,无论罗兰先生是否喜欢，馆藏扩充之后都有机会满足您的好奇心哦。
罗兰,呃啊啊啊！！
罗兰,我好像突然意识到安吉拉为什么讨厌拐弯抹角了。
罗兰,好，我明白了，你们闹成这样的原因我一定会查个水落石出的！
Hod,加油哦，罗兰先生。
罗兰,好嘞~谢谢这位小姐的鼓励，很暖心哟。
