Character Name,Dialogue
罗兰,自然科学层，看来已经开放到第5层了嘛。
罗兰,指定司书是Tiphereth……麻了，这帮人起的都是什么鬼名？
罗兰,我说！Tiphereth~！在吗在吗~！！
Tiphereth,吵死啦！！！
罗兰,咳唔……
Tiphereth,人家明明就在你眼前，你朝空气大喊大叫个头啊。
罗兰,搞什么，完全是个小孩子嘛？
Tiphereth,比起过去，我现在可是长高了不少哦？
罗兰,啊，比起脑叶公司时期？
Tiphereth,不，是说我第一次死掉的时候。那时的我的确是个小孩子，但在这里苏醒后，我的身体好像变得更成熟了。
Tiphereth,不知道是因为图书馆的力量，还是受到了安吉拉的“特别关照”，总之这具身体能帮我更好地胜任司书的工作。
Tiphereth,如果算上我实际生活的天数，应该比这副模样还要年长好几岁呢。
罗兰,先不说别的，初次见面就来一拳可有点过分了哟。
罗兰,不好的回忆又涌上来了。
Tiphereth,哼，还不是因为你憨里憨气的！
Tiphereth,你叫什么？
罗兰,罗兰。曾经是社会底层的9阶收尾人，现在正在给安吉拉打下手。
Tiphereth,看来你已经见过上层的那些家伙了。
罗兰,上层？上层难道不是这里吗？
Tiphereth,……这里应该是下面的中层才对……反正你知道我是什么意思就行了，别管那么多！
罗兰,哎呀，你也太刻薄了。
Tiphereth,人家是Tiphereth，负责管理自然科学层。
罗兰,科学，我还以为搞学术研究的一般都会成熟稳重一些呢。
罗兰,哟哟，又动手啊，我可不会被你打中第二次哦。
罗兰,你这小拳头招呼得可真快，不过比起我以前认识的那位，你还差得远呢~
Tiphereth,呃啊啊啊啊啊！！
Tiphereth,少在那儿瞧不起人了！我以前工作的时候了解过不少科学方面的知识啊！
Tiphereth,而且论起实际年龄，我可是比你还要大！
罗兰,年纪大又有什么用呢~言行举止要成熟才行哦。
Tiphereth,哼！安吉拉现在怎么样了？
罗兰,她对一切都很好奇，有时想想她还真像一个小孩子。
Tiphereth,也许真是那样，因为安吉拉过去一直生活在地下。
罗兰,是啊，活了那么久都没有见过外界的风光。
罗兰,那你是不是跟其他司书一样，也对安吉拉没什么好感？
Tiphereth,我大致了解过她的经历，虽然她看上去的确有些冷酷……
Tiphereth,在我沉睡的时候，我看到了一些往事。
Tiphereth,还有你唤醒我之前发生的种种故事。
Tiphereth,所以，我不是不能理解安吉拉。
Tiphereth,今后陆续醒来的司书们大概也会了解目前的情况吧。
Tiphereth,尽管上层……不，我是说下层的那些家伙还是有些稀里糊涂。
罗兰,那么，你赞成安吉拉的做法吗？
Tiphereth,我只是同意她在最后开出的条件，赞不赞成是另一码事。
Tiphereth,至少我现在愿意帮助她，因为我们的首要目标是一致的。
罗兰,完成这座图书馆？
Tiphereth,没错，光芒要持续照耀7天才能有意义。
罗兰,我还是头一回遇见这么通情达理的司书，太棒了！
罗兰,好，下次过来的时候，我会顺便给你捎一本童话书哟。
Tiphereth,呃啊啊啊啊啊……！
