Character Name,Dialogue
Tiphereth,快点！再快点呀！
罗兰,别催啦，我已经马力全开了。
Tiphereth,这也叫马力全开的话那蜗牛都比你@#$!$@!
罗兰,好了好了，全搬完了。你这性子也太猴急了吧？
Tiphereth,我只想把能做的事情尽快做好。
罗兰,真这么有信心，不妨说说你对都市的科技了解到哪一步了？
Tiphereth,……我不知道！那些违反所有物理法则的奇点真有了解的必要吗？
Tiphereth,我连我们这些司书究竟能不能被定义为生命体都不知道。
罗兰,的确，奇点是理解都市时的一大变数。
罗兰,但司书的定义也很难理解吗？讲真，我对你们的定义一直挺好奇的。
Tiphereth,你觉得司书是什么样的存在？
罗兰,并非人类……却又是与人类无异的存在？
Tiphereth,所有司书都只能存在于图书馆中。
Tiphereth,而指定司书与助理司书曾是任职于脑叶公司的Sephirah和职员。
罗兰,我听过类似的说法。
Tiphereth,前脑叶公司的职员基本都获得了全新的身体。
Tiphereth,安吉拉确实遵守了她的承诺，但重返于世的不仅仅是Sephirah和职员……
Tiphereth,还有那些异想体，但由于脑叶公司的大部分系统和结构都已经损毁，它们的能量也被光芒和战斗消耗殆尽，因此很难维持自身的形态。
Tiphereth,尽管司书们恢复了肉体，但在精神方面却并不稳定。
Tiphereth,正因如此，司书们才能背负异想体与来宾战斗。
Tiphereth,我们也不例外。
罗兰,原来如此……这种感觉像是借助了异想体的力量，而不是被它们吞噬。
罗兰,虽然有时也会突然觉得自己快要越界了……
Tiphereth,一旦越过那条界，就会出现“扭曲现象”。
Tiphereth,而为了确保我们不会越界，安吉拉一直在幕后进行调整。
罗兰,听着像在舞台上跳舞似的。
Tiphereth,说得没错……这次我们仿佛置身于一座舞台上。
罗兰,这就是安吉拉所谓的复仇？
Tiphereth,或许吧……
罗兰,那我这个路人甲为啥会被卷进来啊！？
Tiphereth,即使我和助理司书死在接待过程中，但只要图书馆闭馆，我们就会从睡梦中苏醒，重新恢复形态。
Tiphereth,然而我们在接待来宾时依旧会害怕死亡和痛苦，你知道这是为什么吗？
罗兰,……因为我们会忘记。
Tiphereth,没错，司书们会忘记“就算死去也还能苏醒”这一事实。
Tiphereth,我们必须真切地面对彼此，感受和来宾同样的绝望与恐惧。
Tiphereth,每次接待，我们都要做好迎接死亡和痛苦的准备。
Tiphereth,怎么样？现在你还会觉得邀请函是件不公的产物吗？
罗兰,嗯……我想还算公平吧。但从结果来看，我们的确会复活不是吗？
罗兰,暂且不提我们会忘掉自己不会死这件事。
罗兰,我多少还是觉得有些恶心。
罗兰,闭馆后我们虽然能忘记痛苦，但已经经历过的痛苦是实打实存在的。
罗兰,安吉拉把你们像玩物一样推上舞台，你们不会心生怨恨吗？
Tiphereth,如果她手里有让我们更加痛苦的办法，那她早就这么做了。
Tiphereth,我觉得安吉拉更像是在用她自己的方式关照我们。
Tiphereth,回想脑叶公司时期，职员们是纯粹的消耗品，就和其他公司一样。
Tiphereth,但在这里，司书们至少不会被抛弃，任何一个人都不会。
罗兰,不会被抛弃吗……我得说，无论何时都保持乐观真是Tiphereth的一大优点呢。
Tiphereth,哼！这可是人家在成长中总结出的经验！
罗兰,我在图书馆里有时会紧闭双眼，睁眼之际，我会希望自己永远不会醒来。
罗兰,不……不仅仅是这里，在外界也总是那样。
罗兰,我不想从那梦中苏醒。
Tiphereth,为什么?
罗兰,……因为我不得不拖着颤颤巍巍的身体，重新开始另一个毫无期待的一天。
Tiphereth,毫无期待？
罗兰,没错~我早就放弃任何期待了。
罗兰,无论是我，还是我所生活的这个世界，最终都会没落吧。
罗兰,或许，你们所谓的“心病”已经在我身上扎根许久了。
Tiphereth,我相信一切都会好起来的。
罗兰,相信什么是你的自由。
罗兰,好啦，准备好去舞台上跳另一支舞了吗？
