Character Name,Dialogue
伊莲娜,这里还真是别有天地呢。
Binah,请进吧，陌生的孩子。
伊莲娜,啊，介绍就免了。我对你们这些家伙的事务耳熟能详。
伊莲娜,连物理空间都能具现的力量……确实跟奇点别无二致。
伊莲娜,繁星遍布的空间……照耀都市的星……
Binah,在你眼中，星为何物。
Binah,星原本高悬天际，被人视作指路罗盘般的存在。
Binah,既然如此，都市之星是否会为都市指明前路……
Binah,抑或代表都市本身？
Binah,究竟是星照亮了都市，还是都市映照着星……
伊莲娜,那重要么？无论是什么，都只是被强行赋予的意义罢了。
伊莲娜,在我看来，星无非就是天上的光点。
伊莲娜,好比那些高高在上俯视着我们的傲慢之辈……
Binah,对你而言，星是那般存在。
伊莲娜,有关星的话语总是无比甜蜜，但倘若定睛观察，令人失望的不正是星么？
伊莲娜,我对这种可悲的事物毫无兴趣。会成为星也并不合我心意。
Binah,兴许成为星的人大多和你一样，只是单纯地随心所欲。
伊莲娜,没错。我只按自己的意愿行事。沿着枯竭的道路前进。
伊莲娜,我们释放了自身的欲望，同你们一样，可你们却对我们望而生畏。
伊莲娜,血魔。血红之夜……种种针对我们的观点表现得淋漓尽致。尽管清楚我们本质上是和你们相同的人类。
伊莲娜,不过在这种时候抱怨也无济于事。
Binah,既然自认为人类，我很好奇你在渴求人血时有何感受。
伊莲娜,感受？我只是在杀戮。想尽办法缓解这随时间流逝愈显强烈的欲望。
伊莲娜,啊，当然起初并不是这样。
伊莲娜,那时只是为了我自己……撕咬他人的肉，痛饮他人的血。
伊莲娜,强烈的干渴虽是另一回事，但我不禁疑惑。
伊莲娜,难道我也同那些家伙一样，已经沦为必须吸食人血的野兽……或者只是在可悲地逃避现实。
伊莲娜,又或者仅仅是一个被地狱般的处境和扭曲的欲望逼疯的人类？
伊莲娜,撕咬血肉的同时，我不停追问自己。这到底是为什么？
伊莲娜,也许我在拼命试图说服自己。毕竟我曾是一个过着平凡生活的普通人。
伊莲娜,最后，我发觉自己在寻找一个根本不存在的答案。
伊莲娜,那时似乎仍能保持理智。因为无法忍受干渴而咀嚼以小块肉时，我仍然反复告诫自己这是错的。
伊莲娜,呵，都是过去的事了。现在看来真是可笑。
Binah,看着为根本没有答案的问题寻求答案的自己？
伊莲娜,哪怕我不停止思考，你们的观念会有一丝改变么？
伊莲娜,我并不希望你们时至今日才以另一种眼光看待我们。
伊莲娜,既然你们能随心所欲地活着，那我们也可以。
伊莲娜,想想看。我们到底犯了什么罪，无法安心地四处走动，却只能躲藏在阴暗的角落？
伊莲娜,为什么我们深陷痛苦之中，却仍要照顾你们这种人的感受，让你们毫无痛苦地活下去。
伊莲娜,我们和你们一样，都是人类。不同的只是外表。
伊莲娜,看着你们随心所欲地过活，却将我们排斥在黑暗中的模样……不觉得不公平么？
伊莲娜,反正你们对我们的观念已经根深蒂固，那就不必再忍气吞声，欣然接受这样的生活吧。
Binah,有趣的故事。
伊莲娜,有趣？啊，行吧……随你们这些看客怎么想。
伊莲娜,无论你们脑袋里在想什么，意图创造怎样的世界，那都与我无关，不是么？
Binah,说得没错。此刻只得坚守自己的立场。
Binah,做好准备。
