Character Name,Dialogue
米里斯,累死了，好累……
椿,……苍蓝残响究竟有何图谋？
米里斯,操那心干啥？这要怎么向协会报告啊……
椿,能怎么办。按我们的所见所闻如实汇报。那可不是能够应付的对手。
椿,不说咱们，2科前往图书馆后杳无音信。是出了什么事吗？
米里斯,弟兄们都累昏头了。邵科长也操劳过度了吧。
米里斯,嗐，这会儿可没功夫瞎操心别人。还有挺多东西要整理的，别磨磨唧唧了。
椿,科长大人。这么晚打扰您真是万分抱歉。有关近来接手处理的各个案件，在下有一言……
米里斯,……科长大人？
邵,……
邵,……啊，抱歉。刚刚在想别的事情。不用在意。
邵,说回报告。有何要事？
椿,除了捕获失败的哭泣之子，其余扭曲标本已交由数名专人提取并转交V公司。
米里斯,工期说是差不多得要一天。咱们要一直待到那时候吗？
椿,可曾收到来自协会长或运营团队那边的联络。
邵,1科受命，退出此次事件。
邵,据悉，今后图书馆和扭曲相关事宜将视情况交予하나协会处理。
米里斯,有关都市之星图书馆，似乎必须得花上更多时间去分析研讨呢……
椿,所以现在要撤离这座巢了吗。
邵,是的。标本提取后即刻返程，提前打点好行囊。
邵,此前为下次行动各行整备。不知会有什么委托，先行休养生息罢。
米里斯,好嘞，得令。
椿,那么科长大人还请休憩，在下先行……
邵,留步。
邵,从现在起，铭记我说的每一句话。
邵,1科极有可能被派遣至环指与小指交火的郊区。
邵,我们应当重点关注小指，若是被派遣，各位请务必做好心理准备。
椿,得令。
邵,米里斯最大的缺点就是伐功矜能。只要留意这点，日后便不会有什么问题。
邵,椿如此这般日益精进。有朝一日也会拥有被赋予色彩的资格。
椿,突然说这些……
邵,……
米里斯,……莫非是收到了其它报告。
邵,不。先前已经全部说过了。
邵,此外，我收到了图书馆的邀请函。正堂而皇之地摆在桌上。
椿,所以适才……
邵,没错……我将因此辞去六协会1科科长的职务。
米里斯,……
邵,单方面退出协会以及撕毁合同所造成的损失都将由我独自承担。
米里斯,那……您的意思是。
邵,你们无须担心此事影响你们的过往经历。
米里斯,扯啥有的没的！
邵,后边的包里有我整理收集的交接必需信息文件。
邵,或许有所缺漏……但现在时间紧迫无法返回协会总部，还请谅解。
邵,我为唐突离席向各位深表歉意。
椿,果然还是要去图书馆吗。
邵,……
椿,这可不像邵科长。您可知这绝非能够草率决定的事情……
椿,先行回到协会收集更多信息，如何？这必将大有裨益。
邵,你说得对。不像我，这真是不像我……
邵,太不像了……第一次流泪。我本以为和这种感情无缘。
邵,罗威尔千叮咛万嘱咐过。无论对方发生什么，也不得放弃生命。
邵,多么理所当然的事……我本以为我能保持冷静。
邵,一但亲身遭遇却无论如何都无法割舍，我唾弃这样的自己。
邵,愤怒……失爱、绝望、悲痛。
邵,如何辨明这份感情……不得而知。
邵,但有一点确信无疑。
邵,我走到今天这一步，早已见过无数的谎言。
邵,我本以为这座都市中只存在伪装成真实的谎言。我也曾如此行事。
邵,但是，我对罗威尔的心，是真实的。
椿,科长大人，您的心情并非无法理解。
椿,然而就此辞职，着实弊端多多。
椿,与协会间的信任被打碎，即使日后再独自设立事务所，也会被排斥在这个圈子之外。不仅如此，还有……
邵,就算这样！
邵,我可曾在这都市中这般心急如焚。
邵,可曾为离别心如刀绞。
邵,可曾为思念痛哭流涕……
邵,多亏了罗威尔，我终是知晓了这份心意如此真实。
邵,正因如此，燃尽我身才足以作为我曾活过的证明。
椿,怎能如此冠冕堂皇地说出来。罗威尔科长也是，您也是……
米里斯,邵……我有一个问题。
米里斯,搞到罗威尔的书，然后呢。想过之后要咋整吗？
邵,……不，没有。我只是想贯彻本心。
米里斯,像你这种收尾人在这种情况下意气用事，会有什么下场很明显了吧。
米里斯,你想无路可退吗？
邵,就算终有一日我的空中星光掠现，无人相伴又有什么意义呢……
邵,我心已决。固不可彻。
椿,您可知我等必将追随。
邵,……或多或少。
椿,不加劝阻么……
邵,随我来的话……夺取书籍的概率便能提升。
椿,着实自私。
椿,从未见过如此失态的您都这样说了……我等无可非议。
邵,绝非强求。你们有选择的自由。
邵,但若仍愿意追随如此不成器的我……此份恩情，惟以毕生奉还。
罗兰,……我这看到啥了？
安吉拉,和你说的相反，身为协会1科科长的收尾人也会做出如此感情用事的判断。
罗兰,我也吓了一跳。那个邵她瞎了吗……
罗兰,果然，白夜黑昼的光芒并不只是影响了扭曲或E.G.O的产生……
罗兰,看看这群来宾，该怎么说呢……他们在情感上更加坦率了吗。
