Character Name,Dialogue
하나协会本部部长,即便图书馆这颗明星已经陨落，扭曲的发生却依旧如故，并没有多少好转啊。
하나西部支部部长,正如某人所说的一样，有必要创立一个新的协会了。
하나东部支部部长,您的意思是指一直都有人在提议的，专门负责处理扭曲的协会吗？
하나西部支部部长,堇紫泪滴此刻就像是事先准备好了一样，将数量庞大的文件提交了上来。
하나北部支部部长,毕竟她是个受奇点影响的、能够在多维度中穿梭的人。
하나东部支部部长,她是已经跨越了彼侧的界限吗？还是说只是比任何人都要高瞻远瞩却并不顾及自己呢。
하나协会会长,以处理扭曲为专责的协会与收尾人吗……
伊織,咚咚~对此你们有着充分的需求吧？
伊織,不必如此瞻前顾后。一些翼现在已经迅速行动起来了。
伊織,以处理扭曲为专责的事务所在当下可是能够赚大钱的渔场。得快些把握住这个机会啊。
伊織,此外受图书馆事件的影响，扭曲现在也正发生着新的变化。
伊織,关于那座大明大摆地从郊区里窜出来的高塔，与其相关的报告已经送到你们的手上了吧？
하나南部支部部长,一如既往的无礼啊！你是不会敲门后再进吗？
伊織,方式不同并不代表没有，真冤枉啊~
하나北部支部部长,我们已经收到那座出现在郊区的塔状建筑物的相关报告了。
하나北部支部部长,但当我们接近它时，它便会像海市蜃楼一样消失得无影无踪。
伊織,是啊，的确如此。那建筑大概就是新的图书馆吧。
伊織,虽然它现在似乎是在以与以往不同的方式运营着。
하나协会会长,即便你一再催促工作也是要按步骤来的，堇紫泪滴。甚至要由你一人负责整个协会的编制。
伊織,L公司所使用的名为E.G.O的装备最合适用于处理那些由人类的扭曲所产生的异想体。
伊織,但那名为E.G.O的事物并非是谁都能够随意使用的。我们同样需要具备使用它们的资质与条件的人。
하나协会会长,据文件所述……是那些被称作E.G.O.I.S.T的人吗。
伊織,是啊。我有着一双擅识人的慧眼……交由他们来做准不会有什么闪失的。
伊織,但首先要先以我们这边的方式建立体系才行呢。
伊織,人们现在对它们的称谓与想法可谓是百花齐放，“扭曲”、“异想体”、甚至是用“怪物”这样直率的词汇，宛如一团乱麻。
伊織,率先确立概念与用语的一方更容易执掌一切。想必诸位比谁都要清楚这点吧？
하나协会会长,……我们会积极地展开研讨的。
伊織,那么，我就等着你的好消息了？
