Character Name,Dialogue
Hokma,你唯有在此才一言不发。
Binah,不过只是看看而已。又有什么好说的？
Hokma,只是看看吗……
Binah,是啊。在某些人眼中这不过是所谓的表象。你的看法亦是如此？
Hokma,只是好奇。你我二人的确无话可说。
Binah,直接说是根本没有也无妨吧？你是你，我是我，你我二人从未离开过各自应当守护的地方。
Binah,但对这样的我，现在的你也有时间去寄予一丝关心……你我二人当下也定是与先前不同，有了更多的闲暇吧。
Hokma,并不情愿看到这种变化吗？
Binah,是啊。不知如何是好。
Binah,顺带一提……既然来了，喝杯热茶吧。
Hokma,……若是如此，容我失敬。
Hokma,你有喝过其他种类的茶吗？总是在喝红茶呢。
Binah,是啊。单单只是红茶也有着诸多的种类，因此我并未尝试过其他的茶种。
Binah,哦，那位蓝发的小少爷经常向我推荐咖啡。
Hokma,正如你所说的，真的发生了许多改变呢。他先前也向我推荐过。
Binah,这样下去要不了多久，我等又会再次齐聚一堂吧。
Binah,是啊……定会与初次齐聚时有所不同吧。
Hokma,所有人齐聚一堂，一同讨论各不满意的话题，那一天真的会到来吗？我是不相信的。
Binah,话虽如此，但内心仍很期待吧？都有着相同的心绪呢。
Hokma,……
Hokma,茶已饮尽，我该走了。多谢款待。
Binah,还请改日再来。我随时都备着茶饮。
