Character Name,Dialogue
Hokma,你好。我是看守此处的司书……Hokma。
普鲁托,真是位斯文的先生。对于以残酷闻名的图书馆来说很是意外。
普鲁托,这里也是相当的……安静，氛围也十分不错。
普鲁托,寂寥无几到令人难以相信这里曾发生过将人类转变为书籍这样的可怕事件。
普鲁托,……后面的各位是？
Hokma,他们是协助我接待的助理司书们。来互相打个招呼吧。
普鲁托,是，请称呼我为普鲁托。
普鲁托,……据说这里是掌管宗教的楼层。您认为宗教是什么呢。
Hokma,是什么呢。是热切诚恳的信仰，也是为行动赋予意义和力量的意志吧。
普鲁托,对某个事物的信仰真的能够赋予那般程度的心态和意志吗？
普鲁托,如今这世道，即使行善也不一定会成为好人，即使作恶也不一定会成为坏人。
普鲁托,可连坏事做尽的家伙也能成为善人，无论做过什么都能得到宽恕……
普鲁托,认为自己所相信的事物就一定是正确的，信仰和宗教不正是这样吗。
普鲁托,宗教中的信仰实在是残忍而自私的事物啊。
Hokma,这么解读也不算完全错误。
普鲁托,您也认可吗？
Hokma,不坚定的心灵将产生裂缝，渗入其中的唯有错误的信仰，此乃事实。
普鲁托,不坚定吗……
Hokma,……那么你有何信仰？
普鲁托,我也无法说清。因为是看不见的事物，所以我无法将其作为信仰。
普鲁托,我甚至无法确定此处是梦境还是现实，而我又是否真的在注视着您。
普鲁托,或许连我双足站立于此也不过是幻想罢了。
普鲁托,人类连自己的感官都能欺骗，更何况是去信仰并追随不存在的事物呢。
普鲁托,就像触摸到热的东西会感到冷，而触摸到冷的东西时便会感到热一样。
普鲁托,要是有某种狡黠的存在令我们无法看到这世界原本的模样……又会怎样呢。
Hokma,无论事实如何，如果本人是那么认为的话，那不就是无可否认的真实么？
Hokma,即便那是一个谎言，但我现在依旧信仰的那个事实……只有它未曾有过一丝改变。
Hokma,为了去信仰它物，就要相信那个注视着它物的自己。
普鲁托,说得真漂亮啊。
普鲁托,我只是在那一天醒悟了。不要相信肉眼所看到的事物。
普鲁托,或许过去的我已经被蒙骗太深了。
普鲁托,只因一句轻浮的“能够保护我们安全”的话……只因一纸薄薄的合同，我失去了自己拥有的一切。
普鲁托,要不是那位拯救了我的话，或许我会带着对这一切的不甘……含恨永眠吧。
Hokma,……
普鲁托,而现在我想和他一同踏入他想要走下去的道路。
普鲁托,我所信仰的事物唯有一个……唯有阿尔加利亚大人和他将要创造的全新世界。
Hokma,能让你对那个人深信不疑的理由是什么。
普鲁托,如果闭上眼能够目见那一生都不再有虚伪谎言的新世界的话……我甘愿相信他。
普鲁托,而我也衷心希望您能喜欢那样的都市面貌。
Hokma,我不会否定你们，也不会肯定你们。我的意见无足轻重。
普鲁托,是的，正是如此。那么……请做好准备。
