Character Name,Dialogue
罗兰,突然把我叫来……有什么事吗？
安吉拉,之前不是谈过可以用殷红迷雾的书唤来苍蓝残响吗。
罗兰,你准备好招呼她了？
罗兰,难不成……真的要把Gebura变成书吗？
安吉拉,怎么能做那般残忍的事。
安吉拉,应该可以重现昔日的殷红迷雾。
安吉拉,因为殷红迷雾留下了些许残存，所以只是能够招待过去的殷红迷雾而已。
安吉拉,当然，这只在图书馆内有效。
罗兰,大概是模拟那种概念吗？
安吉拉,大致类似吧。
罗兰,邀请来宾得要书吧。什么书能把殷红迷雾给吸引过来？
安吉拉,……关于脑叶公司的书。
罗兰,原来如此……大概明白了。
安吉拉,此外还需对接待殷红迷雾的指定司书加以限制。
罗兰,因为太强了？
安吉拉,不。殷红迷雾真的会对过去的同僚们挥刀相向吗？
安吉拉,只会令双方适得其反。
罗兰,毫不相干的外人会更好吗……
罗兰,过去的殷红迷雾……做梦都想不到要亲自跟她交手了。
安吉拉,着实有趣。现在心情怎么样？
罗兰,比起激动，更多的还是顾虑吧……
卡莉,……怎么回事，这里是。
安吉拉,第一次亲眼见到这副模样的你，Gebura。
卡莉,盖不啦？什么屁话。你谁啊你。
安吉拉,不出所料……
安吉拉,那么，就叫卡莉吧？
卡莉,你是谁……
安吉拉,我是图书馆的馆长兼司书，安吉拉。我邀请了你。
卡莉,啥？图书馆？邀请？
卡莉,又掉进什么奇怪的工厂或实验室之类的地方了吗……
卡莉,不对，奇了怪了……我明明在郊区的研究所里啊……
安吉拉,总而言之，为了确认此刻的你是何种存在，我先提几个问题。
安吉拉,你是否认识卡门这个人？
卡莉,……果然，是想打压我们的其它翼搞的鬼吧？
安吉拉,不必那般戒备。
安吉拉,只需回答我的问题，我便会给出你们所寻求的答案。
卡莉,说来听听。
安吉拉,……Cogito。我准备了一本书，其中记载着你们苦苦寻觅的Cogito获取方法。
安吉拉,我只是想做笔交易。
卡莉,……想要什么？丑话说前头，敢瞎扯犊子我就把这儿掀个底朝天。
安吉拉,很简单。首先，我想确认一下那里的状况。
卡莉,……只要回答问题就能知道获取Cogito的方法……真的会告诉我？
安吉拉,当然了。此处蕴含各种学识的书籍堆积成山。
安吉拉,我不过是在记录与收集书籍。
卡莉,……知道了。那就信你一回。
安吉拉,很好。同事中是否有一位名叫丹尼尔？
卡莉,……那个蓝毛书呆子的话，有啊。
安吉拉,那么丽莎呢？
卡莉,……有。
安吉拉,伊诺克的试验以失败告终，遗体仍在保管中吧？
卡莉,……
安吉拉,伊莉亚是否仍在那里工作？
卡莉,……在。
安吉拉,正是殷红迷雾谱写传说的时期呢。
安吉拉,为守护因伊诺克的死而意志消沉的卡门与其他同事，只身一人孤军奋战的时刻。
安吉拉,我的心中也是惆怅，却又不知如何是好？
安吉拉,人人都会心怀不安，窥视着卡门的脸色进行研究吧。
安吉拉,当面百般抚慰，背地怨声载道。
安吉拉,话说得好听，研究却未取得丝毫进展，徒增牺牲。
安吉拉,明面言善暗地作恶的那副姿态……真的不觉得可憎吗？
卡莉,……喂，我的忍耐也是有极限的。
卡莉,你要是好好不告诉我Cogito的获取方法，刚才那些破话我可不会当耳旁风。
