Character Name,Dialogue
收尾人甲,哎呦……妈了个巴子，今儿又白瞎了。我好不容易改头换面当上收尾人，可不是为了处理这些鸡毛蒜皮的杂务啊。
收尾人乙,我们这一阶的收尾人都是这样啊，只有被选中的那几个才有机会往上爬。
芬恩,就从这一件件杂务开始，踏踏实实地做，总有一天我们会熬出头的，是不是这个道理？
收尾人乙,你那乐观的性格可真叫人羡慕啊，芬恩。
收尾人乙,可再怎么说，把“请在太阳下山前帮我把走失的喵呜找回来~”这种事推给我们做也太过分了吧。
收尾人乙,我们这种垃圾事务所也只能接到像垃圾一样的委托。
收尾人甲,是啊芬恩，你也不是为了专门处理这种杂务才想成为收尾人的吧？
收尾人甲,你懂的，比如说去更大的场子玩玩。
芬恩,我相信只要努力工作，总有一天我会转到一家不错的事务所，也许还能成为协会的直属收尾人。那样命运就会——
芬恩,唔……？什么，口袋里怎么有封信，上面写着“邀请函”。
收尾人甲,有股可疑的味道……
收尾人乙,这种好事岂能白白放过？
收尾人乙,如果邀请函上写的都是真的，各大“协会”一定会对那些“馆藏”非常感兴趣。
芬恩,听起来很有趣，可是我们根本不知道图书馆里暗藏着什么样的风险，对吧？
芬恩,我们应该先向事务所上报此事，得到批准后再做决定。
收尾人甲,那种三天饿九顿的垃圾事务所还管它个鸡毛呀，你不去我们可要走了。
安吉拉,他们自称为收尾人，你认识他们？
罗兰,哈？因为他们是同行所以我就得认识……？
罗兰,这就好比你在街上随随便便逮到两个人，然后问他们是否认识对方一样。
罗兰,“请问你俩认识吗？我看你俩都是用两条腿走路的人类耶~”这样说你能明白我的意思吧？
安吉拉,唉……看来收尾人的类型和数量相当之多。
罗兰,就是那样~
芬恩,代表人先生，已经过了很长时间，可他们一直没有回应。
芬恩,图书馆里一定发生了什么。
潤,神不知鬼不觉突然消失的收尾人比比皆是。
潤,如果依旧没有回应，无论死活，都以违反合同为由将他们从我的事务所除名。
潤,此外，有关你上报的“邀请函”一事，由于证据不足无法立案。
潤,他们在纸上签过名，一扇门凭空出现把他们带走了？这要么是有钱人的恶作剧，要么就是某片翼正在试验他们的奇点。
潤,我们潤事务所不会在这种事情上时间浪费。
芬恩,虽然我只是个9阶收尾人，但我能感觉到此次事件非同小可。
潤,如此，真是抱歉，我方才得知，原来我们这家连赞助都拉不到的事务所，竟有幸聘请到像您这般感官敏锐的9阶收尾人。
芬恩,……
潤,听好了，你这只井底之蛙。你想象不到的疯狂正如呼吸一般在都市上演。
潤,一旦你有很多事情需要关注，就没时间去感觉“非同小可”了。
潤,像你这种拿不出证据的事，更是没有调查的价值。
芬恩,那您桌上的信封是……？
潤,什……？
潤,你这小鬼，究竟在耍什么花招？
芬恩,我……？我什么都没做啊。
潤,请回避一下。
潤,喂？这里是潤事务所。
潤,这次我有预感。
潤,……
潤,借我点钱好让我雇几个人。
潤,……
潤,不，这次我有很好的预感。
潤,……确实，也有可能像你说的那样浪费时间。
潤,……
潤,有必要的话，我这边可以再确认一回。
潤,虽然这个办法有些不妥……
潤,没错，这边有个合适的小伙计。
安吉拉,如果没有事务所，收尾人们恐怕无法展开工作？
罗兰,形式上是如此。不过，像我这种一个人的事务所就可以绕开那些麻烦事了。
罗兰,只要看到钱什么都敢做，在贪婪这一点上，收尾人和帮派没有任何区别。
罗兰,他们为达到目的，连这种不谙世事的毛头小子都能拿来利用。
芬恩,哇……这里就是图书馆……
芬恩,代表人说得没错，如果这次能成功，没准我们事务所真能获得协会的赞助。我一定会尽力的！
安吉拉,这位收尾人来宾，欢迎你的到来。我是图书馆馆长安吉拉。
芬恩,您好，我是潤事务所的收尾人芬恩！
芬恩,我真的……可以在这里找到包含大量情报的书吗？
安吉拉,当然，那就是邀请您前往此地的意义。
安吉拉,愿您找到想要的书。
罗兰,……不管怎么说，看到这么年轻的新人被砍倒真叫我心里不舒服。
安吉拉,你之前可是亲口说过，我们的做法是“还算正派”的。
安吉拉,“很多时候，人们的性命会在未经同意的情况下被夺走。”这一句我记得特别清楚。
安吉拉,然而图书馆不一样。
安吉拉,人们在签字同意的情况下进入图书馆，甘愿冒着死亡的风险以换取自己想要的东西。
安吉拉,在此过程中没有任何施压与强迫，一切得与失都是他们自己的选择。
罗兰,话是这么说没错……可我还是觉得有点恶心。
潤,呵……不出所料，芬恩也失败了。不过那小子本就活不了多久。
