Character Name,Dialogue
邵,我不想再听到你说什么了。怕死的话就自己一个人逃啊！
米里斯,我要是贪生怕死，又为什么要把科长你也拉出来！
邵,所以，这样做一定是有理由的……
邵,如果这个理由说服不了我，那我绝对不会善罢甘休！
米里斯,科长大人……
米里斯,再这样争下去也只会是狗咬狗，科长您明明心里门清！
邵,闪开！！！
邵,……借过。我很冷静。
米里斯,如今的科长大人，甚至连我一个人都无法阻挡。
米里斯,不管不顾地胡乱挥刀，怎么可能还冷静。
邵,反正都是要斩杀的敌手！
邵,那倒不如摆脱傍身的恐惧，以坚定的意志握紧刀柄，不是吗？
米里斯,……就算面对那样的敌人，迷失自我的刀剑只会造就毫无意义的幼稚怨仇。
米里斯,面对敌人确实需要愤怒，但过度的情感却是双刃的利剑。
米里斯,不要在怒火中迷失自我……科长您不是最清楚这一点的人吗。
米里斯,失去指向的刀剑只会令自己鲜血淋漓，这正是科长您的教导啊……
邵,那帮强盗不配见到我的决意。
邵,竟厚颜无耻地建议我们以性命为赌注。好不滑稽。
邵,我又凭什么以礼相待！
米里斯,就算这样！
米里斯,罗威尔绝对不会这样应对！邵……求你了，振作一点。
邵,……
邵,米里斯……我也知道。包括罗威尔在内的六协会2科全体成员，图书馆并不是夺走了他们。
邵,我深知他们押上了合理的赌注，并且愿赌服输。
邵,但无法接受的事情，又能怎么办呢？
邵,那能说完全是他们的意志吗。
邵,那些决定当真无人相迫吗！
邵,每当我的脑海充满这种想法，我便无法冷静地辨明是非……
米里斯,因为椿和其他协会成员阵亡，才会落到这般境地吗？
邵,没错。起初我只是认为，能保全自己就足够了。
邵,只要能得到罗威尔的书……
邵,在这一切全部结束后，即便举目无亲，也无所谓了。
邵,但是在见到人们一个接一个地死去后，我的想法开始动摇……
邵,我真的在正确的道路上前行吗？
邵,生而为人却独善其身，真的是正确的吗？
邵,相信我、追随我的人们已然作古，却仍要置若罔闻地前仆后继吗……
米里斯,……
邵,若是为了一己私利伤及他人，是否应当临崖勒马呢。又是否应当救助残存的人们呢。
邵,若是必须做出选择，又是谁来承担损害。是我吗，是你们吗？
邵,米里斯……回答我。到底哪一方更加重要，我已经看不透了。
米里斯,……我无法回答这个问题。我怎么可能比你懂得更多呢。你也知道，论聪明才智我可比不上你。
米里斯,但是邵……追随你的所有人从未受到任何人的胁迫，我也不例外。
米里斯,我们的信任和追随，怎能强迫得来呢……
米里斯,这样说或许非常无情，但如果换做他人……如果是为了追求权势而来，那么在你势单力薄时，他们就会弃你而去。
米里斯,你已经辞去了六协会1科科长一职。再也不是能够向我们发号施令的存在，也绝非我们有义务信任并追随的存在。
邵,你是说，正如你们相信我、遵从我一般，我也可以自信不疑地继续前行吗。
邵,正如茶品半日，其香如初……
邵,……
米里斯,……邵？
邵,听不到……那个声音吗。
邵,仿若从未存在于世的……温暖而美好的嗓音……
米里斯,……
米里斯,除了咱们俩的声音外啥都没有，你在说什么啊。
邵,……
邵,……什么？
邵,……你错了。不，或许是正确的……
邵,……
米里斯,……
邵,我自私自利吗？
邵,……我不这样认为。
邵,……
邵,……人类是无法独自生存的。若是那样，距离死期也不远了。
邵,需要与谁人相伴……是啊。
邵,令我存活的人。还有成为我竭尽全力存活的理由的人……
邵,有我相伴才能存活的人……那人因此存活，而我更是不能死去。
邵,守护各位，亦是守护自我之道……
邵,我不应死去。我诚为我，更为他人……
邵,所以你的话语……此言差矣。绝不听信谗言……
邵,……是啊。不应消极地看待自私之心，正是如此吧。
米里斯,……
邵,万分抱歉。我无法按捺自己的情感，未能正确地领导。
邵,这是，我最后一次向你和各位致歉。
邵,米里斯……如今我依旧身处黑暗，不见前路。
邵,诚然，我也深感恐惧，所以有时也会误入歧途。
邵,然而，若是能够坚定不移地前行，终将踏上正确的道路。不见前路，绝非穷途末路。
罗兰,……难不成是展现了E.G.O？
安吉拉,与菲利普展现的不完整的E.G.O类似。
罗兰,甚至还在那自言自语。就像在和谁聊天一样。
安吉拉,我们无法听见、只有邵才能听到的声音……
罗兰,……就像异想体呢。
安吉拉,像异想体吗？
罗兰,在这里借用异想体的力量时，也会听到些什么声音。
罗兰,别的司书听不到那个声音。只有我能听到。
罗兰,时而是充满愤怒的怒吼声，时而是悲伤痛苦的哭泣声……
罗兰,不知道为什么，我在听到那些声音的时候总会有些……动摇……之类的。
罗兰,我的体内似乎有什么在沸腾，或是脑海之中突然冷却。
安吉拉,你和Gebura听到的声音和这似乎有些不同。
罗兰,比如？
安吉拉,你们听到的声音只是在单方面地自说自话。当然有些例外，不过大部分确实如此。
安吉拉,但是邵似乎在和那个声音对话。似乎在和个有所渴求的人窃窃私语。
罗兰,嗯……搞不太懂。还没有什么明确的证据能说清这两种声音的区别。
罗兰,总而言之……先来接待这位字面意义上怪物一样的家伙吧。真是没辙……
邵,……
邵,全员阵亡。无一幸免。
邵,正于此地，你们与我并肩奋战到最后一刻……尔后消逝。
邵,孤身一人，亢龙有悔。
邵,……
邵,空余黑暗。不见前路。
邵,何去，何从。迈步向前的勇气，从何而来。
邵,你们直至最后一刻，又在坚信着什么呢。
邵,胜利的希望……铁血的领导……还是获取书籍的目标……
邵,可惜，事到如今，已是无法得到答复了。
邵,然而，为了生存而屏气凝神，为了重聚而天各一方……有朝一日，终将相见，那时我将再次询问各位。
邵,……
邵,又是你吗。死皮赖脸地喋喋不休。
邵,……我绝不会被自己召来的绝望击垮，更不会心生畏惧。
邵,人类啊……还有我啊，可没有什么迈过不去的坎。
邵,坚忍不拔，持之以恒，劳谦君子，有终吉……我深信不疑。
邵,……并非如此。不必为此一蹶不振。若是毫无绝望，希望亦是不必存在。
邵,心向希望，得以心存恐惧。心存恐惧，得以心生勇气……
邵,若是没有这一切，所谓人生便不复存在。正如没有存续的理由一般……
邵,我又怎能不沉湎在这有血有肉的一片鲜活之间呢。
邵,我仍将为己身而战。
邵,绝非漠视为我献上性命的各位同袍。
邵,……非也。若是因此坐以待毙，更是视其牺牲若无物。
邵,……
邵,你终是无法教我心悦诚服。
邵,独木不成林……倒是趣事一桩。
邵,我纵茕茕孑立，难避漫漫长夜。
邵,然长夜终尽，天将启明……
邵,惟以平旦之孤星，何胜东方之既白。
邵,还请觉悟。今朝此日，都市一星，势必陨灭。
安吉拉,最后，邵也成为了书籍。
