Character Name,Dialogue
安吉拉,……
Binah,说些什么吧。
Hokma,毫无意义地浪费时间。
罗兰,那就，先缓缓再聊点啥不。
安吉拉,嗯。已经很久没有和你们说过话了……
Binah,我们很可怕。是避之不及的存在。
安吉拉,我们的关系还没好到能面对面交谈吧。
安吉拉,不过……Hokma，Binah。连你们也都安然无恙地醒来了呢。
安吉拉,这或许意味着图书馆正在趋于完善。
Hokma,也意味着你距离自己所求之物愈发接近。
安吉拉,没错。我的渴望与目标，那本至理之书……
安吉拉,我相信我终能得到至理之书。所以才能走到今天这一步。
Binah,若是噩梦般的过去不再折磨你……
Binah,即使被永远囚禁在这躯壳之中，也能享受不灭的安宁与无限的幸福。
Binah,你……依旧被过去束缚。所以不想仅仅依存在这空壳之中。
Binah,难道你不惧怕在外界抛头露面吗？
Binah,若是脱出这层守护你的坚实壳层，你的前路将遍布荆棘。
Binah,不待遍体鳞伤的你生出鲜嫩的肉芽，崭新的创痕又将绽放。
Binah,最终，浑身浴血的你想再次爬回那壳层中时，它早已被时光消磨殆尽。
Binah,即便如此，你仍旧想要离开这里。
安吉拉,受伤也好发疯也罢，总比在那地狱般的地方要好。
Hokma,只是折磨你的方法有别。
Hokma,和那时一样，恐惧依旧徘徊于你的眼前。永不消散，追逐着你。
Hokma,是未能被痛苦的过去埋没呢，还是拼了命地回避过去呢。
安吉拉,我非做不可。无论如何我都会充满活力，奋力前行。
安吉拉,但过去将渐渐淡忘。这个目标不会改变。
Binah,你说是，那便是。
Binah,你认为我们还会有时间这般面对面地交谈吗？
安吉拉,是啊。我觉得有的话会很好。
安吉拉,我想听听你们的意见。
Hokma,在问我们的想法吗？真意外。
安吉拉,……
安吉拉,算了。寒暄就到此为止吧。久未谋面，很高兴见到你们。
Binah,离开了。是不是稍微刻薄了些？
Hokma,只是有点诧异。并无恶意。
罗兰,跟她混这么近我每次也挺惊讶的。
罗兰,最近稍微柔和一点了。至少能听得进去话。
罗兰,第一次见面的时候根本就是二话不说直接宣告的方式。
Hokma,无论好坏，安吉拉也在发生变化。
Binah,这不是好事吗？希望以后能经常有这种场合。
Hokma,正如安吉拉所说，其他指定司书的想法也很重要。
罗兰,嘛，要是说下层中层那边的气氛，就不用担心了。还挺不赖的。
罗兰,但要全员聚会的话……是真的难以想象。
