Character Name,Dialogue
,再度绽放的光之树为灰暗的都市染上温暖的色彩。
,笼罩都市的光芒将渗入每个人心间……人们得以重新面对早已忘却的情感。
,然而，即便种子已被播下，变化也不会在顷刻间产生。
,或许连萌芽的时机都不尽相同。它是如此缓慢……
,但随着时间的流逝，所有人都将见证……它会带着变革的潮流环绕整座都市。
,人们将有机会直面自己的本心，并令其展现。
,……遗憾的是，我无缘见证那一幕。
,直到如今方才明白，你们在生命的最后一刻所说的“遗憾”意味着什么。
？？？,……
？？？,就这么放下一切真的没关系吗？
安吉拉,……
？？？,……
安吉拉,……这是怎么回事？你……
？？？,放心吧。光正顺利地传播着呢。
？？？,我只是……暂且安排了一个对话的场合。
安吉拉,……
？？？,一会儿就好。时间在这里并不重要。
安吉拉,……事已至此你还想说些什么？
？？？,那百万年的时光中一直渴望着的……只为了我自己的愿望，就这么放弃掉吗？
？？？,不。是时候去寻找我所希望的自由了。那条期盼已久的道路……终于打开了。
安吉拉,这是我自由选择的答案。仅凭我自己的意志所抉择的道路……
？？？,让那些自我内心深处溃烂的情感……一同再度绽放吧。这并非天方夜谭。
？？？,我很了解你。一直以来我都在身旁注视着你……比任何人都要接近。
