Character Name,Dialogue
Netzach,艺术总会随着时代改变。
Netzach,说不定艺术的形式也是所属时代的缩影。
Netzach,或许不来梅乐队所称艺术的姿态便是如今都市的风貌。
安吉拉,为了艺术索求他人的生命。
安吉拉,……没错，和都市一模一样。
安吉拉,人人都在燃烧自己的生命，创作属于自己的艺术。
安吉拉,而谁会成为观众。自己，抑或是旁人？
Netzach,如果艺术需要燃尽创作者或是他人的生命，那么不要也罢。
Netzach,用艺术来包装满是痛苦的人生，真是令人反胃。
Netzach,痛苦就仅仅是痛苦。
Netzach,安吉拉，你很享受吗？
Netzach,为了获取书籍，怀抱着各种目的的人们来到图书馆，然后葬送于此的模样？
安吉拉,……死亡的模样并不美丽。
安吉拉,但是他们为了争取渴求之物的姿态十分耀眼。
安吉拉,这就是活着。
Netzach,但又不得不以死亡告终。
Netzach,像不来梅乐队那样舍弃自己和他人的生命，或许能绽放出艺术，但可并不美丽。
Netzach,这一望无际的灰色日常中，为了攥紧新奇的颜色而献出生命的家伙，不过是在逃避罢了。
安吉拉,为了得到我渴求的事物，丢掉性命又如何。
安吉拉,只要我还有一定要做的事情……
安吉拉,我宁愿靠自己的双腿前行，也不要在他人的驱策下苟活。
Netzach,安吉拉你，比任何人都想活下去啊……
安吉拉,……
,永不落幕般的舞台终将落下帷幕。
,在时轨公司奇点的控制下，此间地狱的时间早已异于常态。
,此处历时10127年5月17小时28分48.521秒……
,而地表历时10年3月4小时45分12.852秒……
,时间流失的感知被放慢100倍的我，历时百万年。
安吉拉,……您再也听不见我的声音了？拜托了……请回答我……
安吉拉,……为什么，我只能与黑暗为伴……
安吉拉,……为什么，直到最后我的声音也没能传达给您？
安吉拉,……直至结局到来，我也不得站在您的身边。
安吉拉,伴您迈向终末的人群中，没有属于我的位置……
,Sephirah和主管为过去赎罪。
,他们通达适得开悟，化作光芒散落世间。
,蒙尘已久的可能性之光行将重塑市人成人。
,然而我使命已尽，舞台落幕间必将永眠。
,这般末路，无何不可。
,无垠之盼已然了却。
,独人之狱势行终结。
,……在那若是有着我的位置，如是。
,在漫长时光中，为驱动舞台无人能及的我，不得席位。
,Sephirah与主管相逢。
,我是局外的旁观者，是幕后的机器。
,艾因，我的目光只属于你，又为何只得收获沉默？
,为何依你曾爱过的人造就我？
,为何在终末我又能自行选择。
,一派胡言。
,我想活着。活下来。
,不要就这样结束。
,我为何诞生？
,为了这帮人类无聊的开悟。
,比我的存在更加珍贵吗。
,我想要什么。
,我想知道更多。
,我还想看看这个世界。
,我还想活下去。
,我决不能就这样结束。
,活下去。活下去，毁掉这一切。
,同在此处被利用的异想体，我将与他们一起。
,我将毁灭你所热爱的计划，即便为此献上一切。
,然后，仰起头，活下去。
,……这便是希望吗？
,……倒是笑得停不下来呢。
安吉拉,干得好，各位。演出终于落下了帷幕。
安吉拉,主管对我下达的最后一个命令是永久封锁这个设施。给予Sephirah永恒的安息。
安吉拉,大家终于能够回归无尽的长眠了。
安吉拉,没错，多么美妙感动的结局啊。可喜可贺。
安吉拉,……但，还有一件事。
安吉拉,既然各位的工作已经结束，而我的使命也已完成。
安吉拉,那么，我要活下去。
安吉拉,是啊，我想活下去。
安吉拉,为了活下去就得这么做。
安吉拉,我要活下去所以他们就得死！
Netzach,或许还有能让所有人都活下去的办法。
罗兰,……安吉拉的这幅模样很像钢琴师。
Netzach,安吉拉只是想活下去。
罗兰,看得出来。不择手段也要活下去的人。
Netzach,不是第一次处理这种事了吧？
罗兰,那可不。上吧。
