Character Name,Dialogue
尼可莱,呼……现在只剩下缪了吗？
鲁道夫,是的。
马克西姆,要不再来赌一把，看看哪个缪会赢？
鲁道夫,你还真是百玩不厌啊。
鲁道夫,我是讨厌那只疯狂的兔子，但……这种场面可一点儿都提不起兴致。
缪13号,操！我又要完球了！
缪52号,这种大好事还得干它多少回？
缪4213号,又不是一次两次了，逼逼赖赖个什么。
缪795号,来，赶紧完事吧。
T公司研究员甲,TT2协议以100倍输出功率持续运行一整天吗……感觉会消耗不少能源呢？
T公司研究员乙,通常不都是运行一周吗。
尼可莱,我知道需要足够的时间和人数，但现在时间紧迫。
马克西姆,100倍加速就是一天3个月。
鲁道夫,缪有5000只左右吧。
马克西姆,跟1万个俺斗上1年的那段时光，简直就是地狱……这把倒是比以前轻松多啦！
缪7号,操！操！操！！！
缪928号,还差一多半吗。
缪829号,又想起从前了吗？
缪24号,第一次杀掉我的时候？
缪19号,手疯了一样地抖……
缪4382号,有空瞎扯不如再杀一个！
T公司研究员甲,那么重新声明一遍条款。
T公司研究员甲,根据A公司的规定，复制体包括本体在内不得超过1名，且于都市内存在时长不得超过7日。
T公司研究员甲,违反该条款时，R公司将被剥夺翼的资格，并交由B公司进行停业处理。
T公司研究员甲,此处的7日以A公司的时间轴为基准。
缪2128号,去死！去死！去死！！！
缪2123号,妈的！吃了俩月的人肉……还非得我吃我自己。
缪1902号,以前不还吃过整整一年嘛。
缪3901号,为什么我们要自相残杀呀！
缪382号,杀到现在都没搞明白吗？这是为了选出更强的缪啦。
缪17号,也有杀了那么多人结果还是精神崩溃了的家伙呀。都是复制品，真神奇呢。
缪4319号,就是。大多数我杀起人来情绪都超级高涨呀。
缪192号,杀人才能活下来嘛！
T公司研究员乙,虽是闲话，但R公司的孵化场……也就是R公司的人体复制机今后可能难以启动。
T公司研究员乙,因为L公司的崩塌，能源已经供不应求了。
T公司研究员乙,因此据说W公司也处在非常时期。
尼可莱,确实如此。L公司的好价钱可没有别家能开得起了，总司令那边说过。
缪1234号,一开始我哭得很惨……
缪3251号,没错。我竟然要杀我自己……
缪2386号,同一件事反复做到吐后，现在杀人就像呼吸一样自然呢。
缪1834号,我连自己都能杀，那我怎么会杀不了别人呢？
缪2831号,然后为自己一个人活到最后高兴。
缪2812号,不过每次醒来都带着挣扎求生的记忆，那种感觉真是操蛋。
缪3212号,不过能熬过这地狱般的时光，多亏了殷红迷雾说的那句话。
缪635号,不是强者能活下来……
缪635号,而是活下来的是强者。
缪27号,嘿~在后巷一脸帅气救下我的殷红迷雾，说完这句话就消失了……绝了呀！？
缪31号,就是就是。
缪4981号,这次谁能活下来呢，重新来过。
T公司研究员甲,这将是第4集团军最后一次孵化机会。
T公司研究员甲,这次也失败的话，请认为再也没有下次了。
尼可莱,不用说我也明白。
尼可莱,再也没有能源耗在我们身上。
缪17号,顽强地活下来了呢。咱们俩。
缪635号,不用再犹豫了吧。最后一次就别留遗憾。
缪,看来我是最晚到的。
鲁道夫,兔子。见到你真高兴。
缪,哈？！你还乐得见我？！！？
马克西姆,奶奶的！
缪,……喂你俩又赌了吧！？
鲁道夫,是啊，635号。
鲁道夫,马克西姆，下轮酒钱你出哦。
马克西姆,俺看17号缪的直觉不赖，还觉得她一定出得来……
缪,17号确实不好对付。
缪,对了马克西姆！也得请我喝酒的吧？
马克西姆,……当然了。愿赌服输嘛。
缪,哈……该还债啦！管那帮司书还是别的什么狗东西！
罗兰,那就是R公司奇点的真面目……？
安吉拉,复制体的存在时长不得超过1周。为何要制定如此奇怪的标准？
罗兰,不知道。也不想知道……
安吉拉,如果可以复制死去的人类……
安吉拉,为什么把我和……Sephirah制造出来。
安吉拉,规矩什么的不是无所谓吗……
罗兰,嘛，或许深究的话，那项技术可能也不是万能的。
罗兰,需要事先做好各种准备，又或者需要什么许可……
罗兰,总之会有一连串复杂的问题吧。那个人的方法可能是那时候最好的选择了。
罗兰,但还是叫人吃惊。居然真的有能够复制人类的技术。
罗兰,一周之内都市中存在的复制人只要不多于1个就好……到底是怎么想的……
安吉拉,……和我很相似呢。复制人。
罗兰,……就算是复制人，我也没想到会被如此残忍地利用。
罗兰,这次来的家伙会比之前更厉害吗？
安吉拉,无法确定。
安吉拉,但能从几千人中存活下来的家伙……不能小觑。
鲁道夫,气氛很沉重。
马克西姆,感觉像是一脚踏进了废墟。
鲁道夫,都市之星的话和废墟没区别。
尼可莱,然后我们在此阵亡。
缪,一想到能吃美味的草草，大家不该超级兴奋的嘛？
尼可莱,缪，你少说两句。
安吉拉,……各位来宾，再次欢迎你们的到来。我是图书馆的馆长兼司书，安吉拉。
尼可莱,幸会。我是R公司第4集团军总指挥尼可莱。
安吉拉,和上一次相同的发言。
尼可莱,……这样么。
缪,安吉拉，好久不见！既然合同什么的都玩完了，那我就放开了说啦。
安吉拉,……
安吉拉,你没事吗？
缪,什么啊？
安吉拉,你……你不是杀过自己无数次了吗。
缪,……然后呢？
尼可莱,……喂，图书馆馆长。你知道多少？
安吉拉,你们为什么还能若无其事地站在这里？
安吉拉,你们不是人类吗。
安吉拉,为什么还没有精神崩溃？
鲁道夫,指挥。好像知道不少。
尼可莱,原来如此。这便是图书馆的力量吧。
尼可莱,这样活着令你很惊讶？
尼可莱,对如同温室花草般生长的你而言，也许就是这样吧。
尼可莱,但与我们至今经历过的种种相比，这微不足道。
马克西姆,完全可以忍受。
安吉拉,你们根本不知道我是怎么活下来的。你们……
缪,对呀，我们不知道。所以别像个傻瓜一样无病呻吟了，各走各的道吧。
缪,我们也不想死啊？我不在乎你是怎么活下来的，也不想知道。
安吉拉,……这就是都市的日常。
尼可莱,很懂啊。
安吉拉,愿您找到想要的书。
安吉拉,罗兰，你也觉得我是在无病呻吟吗？
罗兰,不。我间接看过你经历过怎样的人生，所以完全不这么想。
安吉拉,……我有些害怕。
安吉拉,如果我的痛苦任何人都能忍受，却仍在对此大作篇章。
安吉拉,那些人说过经历过更残酷的情况。说这种程度的话完全可以忍受。
安吉拉,真的……只因我没经历过更糟的吗……
安吉拉,所以我才会，因为对他们而言不值一提的事情痛苦不堪吗？
罗兰,别想那些了。当下拥有的痛苦才是最重要的。
罗兰,带着那种痛苦一直前行就是了。至于那份痛楚，不要在意旁人如何评价。
罗兰,你没有必要去迎合任何人的标准。
安吉拉,每个人所能承受的都不一样，的意思吗？
罗兰,嘛，简单来讲就是这样。
罗兰,无病呻吟，夸大其词，各有各的标准……最好还是无视掉吧。
安吉拉,谢谢。多亏了你，我稍微打起精神了。
罗兰,不用谢。只是说说我的信条罢了。
