Character Name,Dialogue
罗兰,送书的来喽~这次进来之前刻意把衣装打理好了哟。
Yesod,你来了，安吉拉的狗。
罗兰,真是的，怎么还说我是狗。
Yesod,不得不说，你上次带来的书很是有趣，后巷的科技就像碎布一样凌乱无章。
Yesod,从利用废料粗制滥造的设备，到运用反物质编织而成的衣物，不同水平的科技不分先后地纠缠在一起。
罗兰,虽然存在各种尖端科技，但能从中受益的终究只有少数人。
Yesod,人们按照资本被分成了三六九等。
罗兰,毕竟我们生活在一个只要有钱就不会死于任何疾病的时代。
罗兰,随着各种治疗方法的问世，只要你有钱，就能随意取用它们。
罗兰,甚至出现了能够触及神域的，名为奇点的全新科技。
罗兰,顺带一提，你知道脑叶公司的奇点技术是什么吗？反正公司已经倒闭了，就跟我透露一下呗？
Yesod,脸皮真够厚的，不过告诉你也无妨。
罗兰,感情我之前说的话你都没在听咯！？我说的内容也不至于那么无聊吧！？
Yesod,脑叶公司的奇点技术，其特殊之处在于“人心”——将人类的情感以某种抽象的方式实体化。
Yesod,图书馆亦是同样的原理，以物理为媒介展现人类的情感。
Yesod,而人类的情感尤其复杂。
Yesod,经验的积累将促进情感的塑造，情感高涨时，挑选合适的书页就能塑造自己的书。即，创造出独属于自己的E.G.O。
Yesod,战斗愈是激烈，情感愈是高涨，E.G.O就愈是强大，最终能在人们身上呈现出物理的形态。
罗兰,原来是将心灵具象化啊~
罗兰,这跟扭曲现象确实有几分相似……
Yesod,你在嘀咕什么？
罗兰,没没没，自言自语罢了，不愧是奇点技术啊！真了不起！
罗兰,所以我反倒更好奇了，听Malkuth说，你们以前参与过拯救人类的工作？
Yesod,……是的。
罗兰,那到底是怎么个救法呢？
罗兰,比如召来一场钞票雨？那样的话，也许所有人都能得救吧。
Yesod,根本不是那种事。
Yesod,你有什么资格拿我们的牺牲说笑？
罗兰,冷静！小哥你冷静！我不开玩笑了我闭嘴。
Yesod,我们的目的是治愈人类的心灵，这个项目的领导者名叫卡门。
Yesod,卡门说，每一位都市人都患上了心病。
Yesod,疾病扎根已深，若是任其自由生长，人类终将自取灭亡。
Yesod,她说，人类如同悬在崖边，随时有可能坠入深渊，万劫不复。
