Character Name,Dialogue
景美,你们这群！狗逼！！
景美,就是！他妈的欠揍！！
景美,睁大眼睛看着你老子！！
迪诺,够了，景美。做掉他们没有任何好处。
迪诺,再怎么说，这里是22区，你在教训的小鬼可是来自Zwei6科，协会终归是协会啊……
迪诺,要是全做了，咱们不好交代的。
景美,沃尔特！！
景美,那头狗娘养的！
景美,如果遵守他的承诺！我们怎么会卷进这种逼事！
景美,我们需要L巢的工程蓝图！
景美,Zwei手里！
景美,明明就有！
景美,老子有必要！
景美,给这群狗逼来点教训！！
景美,嗬~好叫他们记住遵守承诺到底有多重要。
迪诺,太阳快下山了，“清道夫”随时有可能钻出来。
迪诺,“拇指”那边也懒得和咱们联络。
祖鲁,弟兄们替沃尔特那混蛋收集扭曲现象的情报，流了多少血和汗，到头来却给我们喂屎。
迪诺,“齿轮教团”的狂信徒已经害咱们失去了五成的弟兄。
祖鲁,他们的教主也是个没人性的怪物……
迪诺,咱们拼了命地从教堂打探情报，究竟是为了什么……
迪诺,要是咱们不能按时把工程图纸交给拇指……
祖鲁,那剩下的五成弟兄就会被他们肃清。
迪诺,妈的，当初就不该和协会的人做交易。
祖鲁,不管怎样，那个沃尔特不像是会食言的家伙……恐怕是遇到了什么麻烦。
祖鲁,就算再怎么老奸巨猾，他也好歹是堂堂Zwei6科的科长。不过他通常会把外勤工作交给手下去办，没道理突然出事吧。
迪诺,凡事无绝对……
祖鲁,这个弱智，全给办了。
迪诺,看来咱们又多了一个选项。
迪诺,又是这样……脑子一热什么都不管，只知道把骨头和内脏全给打碎。
祖鲁,景美！！就算这些人只是Zwei6科的喽啰，办掉这么多会把2科3科也卷进来！
迪诺,这下可好，Zwei随时有可能派一群收尾人对付咱们。
景美,这群狗娘养的……要教教他们承诺的份量。
迪诺,你最好给弟兄们留了后路。
景美,呵，自己看。
迪诺,信？
祖鲁,这就是传说中的图书馆邀请函。
迪诺,……“今日的书籍”里列出的是……这是……沃尔特之书？难怪，原来这就是你的计划？
祖鲁,什么呀，景美！！
祖鲁,你明知沃尔特已经死在图书馆里了，为什么还要暴揍6科的那些崽子！？
景美,老子要叫他们记住！
景美,承诺！！
景美,到底有多重要！！
罗兰,跟收尾人不同，帮派杀起人来可没那么多顾忌。他们在后巷嚣张跋扈，无恶不作。
罗兰,这些人究竟在打什么算盘？难道想把清道夫和拇指也搅和进来？
安吉拉,清道夫，我了解过他们。
罗兰,是吗？毕竟清道夫很有名。
安吉拉,他们会将人类切碎，融解，当成燃料使用？
罗兰,差不多吧。清道夫很强悍，但真正可怕的要数他们的组织能力。
罗兰,每到夜晚，他们会神不知鬼不觉地冒出来，悄悄清扫后巷。
罗兰,他们的具体规模也无从得知，不管拿下多少，第二夜又会出现更多。
迪诺,能及时赶回去吗？时间会不会有点紧？
祖鲁,没剩多少时间了，但赶回去应该不成问题。
安吉拉,各位来宾，欢迎你们的到来。我是图书馆的馆长兼司书，安吉拉。
景美,够了。
景美,赶紧让你老子进去，老子没时间跟你哔哔。
安吉拉,我知道您有些不耐烦。
景美,闭肛！！
景美,现在就让你老子进去！
安吉拉,愿您找到想要的书。
罗兰,一直这样你会觉得厌烦吗？
安吉拉,一直听你说一大堆废话？
罗兰,当然不是，我是指，应付那些来宾说的话。
罗兰,有些人会毫不犹豫地对你恶言相向，我很惊讶你居然能忍住不还口。
安吉拉,他们是我们邀请来的贵宾，应当以礼相待。
安吉拉,更何况我已经习惯像这样迎合他人了。
罗兰,你的职业素养还真是透彻得让人敬佩啊。
罗兰,如果有机会，你真该去给后巷的餐馆老板们做个有关服务业的演讲，大家能从你身上学到不少东西。
罗兰,但是呢……我觉得对待不同类型的来宾你大可随机应变，而不是对谁都这么礼貌。只是建议而已。
安吉拉,我会考虑的。
