Character Name,Dialogue
罗兰,大家在聊什么呢？怎么一脸凝重的样子？
Yesod,事态相当严重……
Hod,嗯，要快点想想办法。
Malkuth,这下麻烦大了啊！
安吉拉,告诉我，发生了什么。
Malkuth,Netzach不见了！
Yesod,这次的“图书馆走廊清洁企划”本该轮到艺术层负责。
罗兰,呃哼……？
Yesod,你知道他躲到哪里去了么？
罗兰,不不，这我怎么可能知道……
Hod,他的助理司书也都消失不见了，他们会藏在什么地方……
安吉拉,清洁？我并没有安排你们打扫走廊的卫生。
Yesod,各大楼层虽然由指定司书自行管理，但诸如走廊之类的公共区域还是由各楼层轮流打扫比较好。
安吉拉,你们总喜欢在奇怪的地方增加工作量。
Hod,你想停掉这个企划吗？
安吉拉,不，我不在乎。
Hod,太好了……
Malkuth,大家现在正苦恼着呢！Netzach那家伙到底带人躲到哪里去了啊？
安吉拉,唉……
安吉拉,那么，这位是Netzach。
Netzach,什……什么……怎么回事？
安吉拉,只要你仍在图书馆，将你带回我的身边并非什么难事。
Malkuth,Netzaaaach~！我们明明说好了轮流打扫走廊的！
Hod,一轮到自己就躲起来，太不像话了……
Yesod,浑身都是酒味，连那些助理司书也……
Netzach,……听我解释，我这么做是有原因的。
Malkuth,能有什么原因？
Yesod,我倒要看看，你能编出什么故事来。
罗兰,好了好了，Netzach下次一定会注意的，你们别再为难他啦。
Yesod,不，听听他的说法也无妨。
Malkuth,Netzaaaaaach！
Netzach,……我的确不怎么愿意打扫走廊，但我本来其实想扫扫看的。
Netzach,正当我为这事儿发愁的时候，罗兰说他发现了一个偷懒的好地方……
Netzach,只要我答应给他几听酒，就可以躲过这次打s……呜唔！！
罗兰,这家伙酒还没醒，怎么尽说胡话呢？
罗兰,酒量明明不咋的还这么贪杯哈哈哈。
Hod,……罗兰，Netzach说的都是真的吗？
罗兰,哈哈……这怎么可能。
Yesod,难怪你身上有股淡淡的酒味。
Malkuth,你们两个太让我失望了！
罗兰,抱歉！这次我会帮Netzach一起打扫卫生的，求你们饶了我吧！
安吉拉,不，不仅仅是这次，今后你也切实参与到各层的清洁工作中去吧。
罗兰,什么？
Hod,好主意。
Yesod,那么，这件事我可以不予追究。
Malkuth,今后就拜托你了，请务必打扫干净哦！
Netzach,……罗兰也喜欢在奇怪的地方增加工作量呢。
罗兰,唉呦……
