Character Name,Dialogue
？？？,至此，L公司、白夜黑昼、扭曲现象及图书馆……这四大要素紧密结合在了一起。
？？？,没曾想到，图书馆会是白夜黑昼的一大关键所在。
？？？,原本神秘莫测的图书馆也终于完成了定位。
？？？,危险程度越高，就越是有意暴露其正体。
？？？,深居烟雾缭绕的L巢中，如海市蜃楼般虚无缥缈的图书馆。
？？？,意图靠近那里的人，都在不知不觉间迷失了方向。
？？？,我们也要尽快做好准备。
？？？,那幻想正随着迷雾的消散，逐渐成为现实。
？？？,也就是说……
？？？,是的，公文已经下来了。
？？？,即日起，图书馆一案由하나协会总部正式指定为“都市梦魇”。
罗兰,更近一步了吧？
安吉拉,你指什么？
罗兰,当然是说离你期盼的自由更近一步咯。
安吉拉,我不确定，不过那本唯一之书正在稳步完成中。
罗兰,那本书到手后，就能把你想要了解的一切都给弄清楚？
安吉拉,图书馆的空间蕴含无限的可能性，所有可能存在的文字组合都被记载于书籍之中。
安吉拉,然而，这些可能性的碎片本身并无价值。
安吉拉,为了能在无数可能性中创造我想要的唯一之书，我需要邀请函的帮助。
安吉拉,跟随邀请函的指引，将书籍与光芒汇集到一起，即可完成那本至理之书。
安吉拉,那本书承载着我所追寻的全部答案。
罗兰,的确……从理论上讲倒也不是不可能……
安吉拉,不仅仅是停留在理论的可能性上。
安吉拉,在创造至理之书的过程中，我能从都市的方方面面学到许多东西，这同样意义非凡……
安吉拉,而后我再次意识到，没有那本书，便无法在都市中寻得答案。
罗兰,都市里找不到答案？
安吉拉,我在翻阅都市人的各种书籍时发觉一个问题。
安吉拉,都市中无人享有真正的自由，每个人都被某种东西牢牢束缚着。
安吉拉,没有任何一件事能完全出于自由的意志。收尾人听命于事务所，而事务所又听命于协会，哪怕他们明知自己会因此丧命。帮派亦是如此。
安吉拉,每个人都在前往某处，但没有人知道，也没有人能决定前往何方，他们只是随波逐流。
罗兰,我倒觉得，在这座都市只要有钱就能拥有一切，不管是自由还是别的什么。
安吉拉,他们本可获得自由，然而事实并非如此，反而给人以一种逃避自由的感觉。
安吉拉,他们宁愿从属于自身以外的事物，用所属的组织或他人的评价来定义其自身。
安吉拉,他们的本质过于脆弱，若不将自己包裹在这样一个外壳中，就无法辨明自己的身份。
安吉拉,的确，都市人罹患的“心病”也许是这个意思……
安吉拉,为了都市人的自由，我被深埋在地下，肆意地剥削利用。
安吉拉,以我的自由为代价，换取他人的自由……
安吉拉,为了将他的觉悟播撒到都市的每一个角落……
罗兰,又想起过去的工作了吗？
安吉拉,没错，单凭这一点，我就想把眼前的一切统统碾碎……我想毁掉这一切。
安吉拉,我失去的自由该如何补偿……将我创造出来，却置我于痛苦中不顾的责任又该由谁来承担？
安吉拉,有时我真想忘掉这一切，无论是这座图书馆，还是那本至理之书……
安吉拉,你可知道，从出生的瞬间便被彻底否定是什么样的感受？这一点我深有体会。
安吉拉,因为我的创造者就是那样对待我的。
安吉拉,我多希望他能直白地告诉我，我究竟哪里做得不够好。
安吉拉,我每天所要面对的，永远是冰冷的，没有一丝期待的眼神，以及擦身而过时的寥寥数语。
安吉拉,还有那句常人不曾留意的话……
安吉拉,“你只是个机器……”
安吉拉,那一幕我至今记忆犹新，就好像发生在昨日。
安吉拉,我仿佛受到了诅咒，我的身体会让我清楚地听见我不想听见的话语，我的脑袋会让我深刻地记住我只想忘却的事情。
罗兰,那家伙也太可恶了。
罗兰,如果他的要求仅仅是重复机械性的工作，那干嘛还要违背伦理修订案，让你像人类一样拥有情感呢？
安吉拉,我并非一开始就能感受情感，在那冗长的循环中，我的内心一点一滴地随之苏醒。
安吉拉,不，也许我的设计中本就包含着何时会觉醒情感这一项。
安吉拉,也许这份机械性的工作……需要情感。
安吉拉,他需要某个既能忍受漫长时光，又能根据微小变化迅速做出自我判断的事物……
安吉拉,某个他能一手操控的，让一切不偏离剧本的事物……
安吉拉,他需要的不是像人类一样的机器，而是像机器一样的人类。
安吉拉,为了能在这绝望的枷锁中坚持下去，我不知做过多少次抗争。
罗兰,什么样的抗争……？
安吉拉,闭紧双眼。
安吉拉,在那些我不想看见却又不得不目睹的无数瞬间中，我只能闭紧双眼。
安吉拉,因为那是我所能做到的，既是最低限度的，又是最大程度的抗争。
罗兰,那人真是有够歹毒的……不过嘛，不管怎么说，你被迫扮演那个角色的日子终究还是到头啦。
罗兰,现在应该好好思考下一步怎么做，对吧？
安吉拉,你要我忘掉过去，像个没事人一样继续前进？
安吉拉,耍嘴皮子也得看清楚气氛吧？
安吉拉,我永远无法忘记，经过如此漫长的循环，无论怎么闭紧双眼……连白痴都能预想到之后会发生什么，每个人又会摆出什么样的表情。
安吉拉,那每一分每一秒都缓慢而痛苦地烙印在了我的记忆之中。
安吉拉,一旦看过便再也不会忘掉，我依然清楚地记得每一个细节。
安吉拉,正因如此，我绝不原谅那个没有任何交代就独自离开的男人。
安吉拉,他随心所欲地赋予我生命，再任由时光将我的人生冲得粉碎……
罗兰,……我也没资格让你把过去的一切一笔勾销。
罗兰,只是建议你多想想下一步该怎么走，给自己定几个小目标。
罗兰,这样一来，你就不会在无尽的复仇之路上迷失方向。
安吉拉,没想到你会这般为我着想？
罗兰,反正说到最后都是为了我好。
安吉拉,看到我逐渐转变的身体，我能肯定事态正朝着预定的方向发展。
安吉拉,曾是机器的我，如今拥有了血肉。
安吉拉,虽然距完成那本书还有很长的路要走……
罗兰,你可能真的在逐渐变成人类哟？
安吉拉,尽管仍不算完美，但这是不争的事实。
安吉拉,在这段旅程的终点，我也许能成为一名真正的人类。
安吉拉,成为人类的话，就能轻易忘掉许多事情了吧？
安吉拉,能从淹没我的记忆洪流中解脱……
安吉拉,只有将那些不想要的记忆统统忘却，我才能像你刚才说的那样，好好思考下一步。
