Character Name,Dialogue
休伯特,呼……还剩多少？
以斯帖,剩余193人。
格洛丽亚,你给我老实点儿~！
拇指士兵,拉勾在即，竟还做出这种事……
格洛丽亚,这种事儿已经不是一两次了，别搞得那么稀奇嘛~你们老板那边应该能应付过去哟~？
以斯帖,“将巢内的拇指余孽剁去手足，穿刺于尖桩之上……”
以斯帖,吾辈只是执行指令。这一系列行为不掺杂任何情感。
拇指指挥官,听从那种来源不明的指令……根本不顾后果……！你们这群又聋又瞎的傻逼狂信徒！！！
以斯帖,都市人不皆是如此？你我二者也只是方式不同罢了。
格洛丽亚,这次的指令也完成喽~
阳,……只剩下最后的指令了。
休伯特,穿刺于尖桩上活活挣扎的模样，可谓绝景。
以斯帖,至此，L巢中的手指便只有食指。
休伯特,还剩下R公司的畜生跟那个苍蓝残响。
格洛丽亚,不愧是指令呢~总能把我们引向迷人的地方，真好哇~
阳,指令只需遵从。
阳,赋予意义或者欣赏都是不好的……
格洛丽亚,我们的传令还真是能说会道呢~？
格洛丽亚,下颚被砸碎，舌头和眼睛也给人挖了出来，已经奄奄一息了呐~
格洛丽亚,如果不是指令，别说治好你了，连活下来都难哦~？
阳,但我并不为此感谢指令。
阳,……只是执行了指令而已。
以斯帖,传令所言甚是。指令只须完成。
以斯帖,这正是阳传令过去亲身证明的。
阿尔加利亚,呀……血腥味很重嘛。食指还真是没变呀，不过我也没资格说呢。
休伯特,苍蓝残响……
以斯帖,我们关系有好到见面就闲扯吗？
阿尔加利亚,别那么戒备嘛。
阿尔加利亚,我是有求于你的，以斯帖代行者。
阿尔加利亚,我或许可以带走这些被串在签子上的肉块。
阿尔加利亚,看来指令已经执行完毕了……指令也没说要把他们一直挂在上面吧？
休伯特,也并无将其放下之意。
阿尔加利亚,解读是代行者的工作，所以才要拜托嘛。
格洛丽亚,好为难呢~该怎么办呀~？
格洛丽亚,虽然我不想照他说的做，可也没理由不这么做呢~
以斯帖,……随那苍蓝残响的便罢。
以斯帖,吾辈只须完成下一则指令即可，不必制造无谓的争端。
阳,真是明快的解读。
阿尔加利亚,果然明智呢。我们彼此之间不必掏心挖肺可真是万幸。
阿尔加利亚,与代行者交谈总是很愉快。与我相同的气味……
阿尔加利亚,我想邀请你们其中一人加入我的乐团。
休伯特,我对你的小算盘不感兴趣，你最好给我适可而止。
阿尔加利亚,是么？我还以为你们听后一定会喜欢的……
阿尔加利亚,总之……趁新鲜的时候带走比较好吧？麻烦一下喽。
不来梅,汪汪呜汪！！咴咴~咕咕咕！
塔尼娅,你说得没错，麻烦事儿就只会推给别人做。
格蕾塔,咯咯咯！串在桩子上就仿佛是……味道香喷喷的烤串儿呢！？
格蕾塔,对了！往酱油里加进蒜蓉，刷上一层烤起来会很好吃的！脑袋大杂烩，你怎么看哈？
