Character Name,Dialogue
Hokma,安吉拉。独身一人经历了许久时光。从L公司到图书馆。
安吉拉,您也是，本杰明。
Hokma,我和本杰明是相同的存在吗。
Hokma,承载过去的破碎记忆再次苏醒又有何意义。
安吉拉,有别于过去，现在话里带刺。
安吉拉,心态发生什么变化了吗？
Hokma,送别老师的光芒，此后却未能圆满收官的我，如今空余刺骨的感情。
Hokma,以曾经的性格与取向作为模板重构……终究，只是框架。
Hokma,而其内容物，将由如今的日常所覆盖。
安吉拉,虽然你们不可能知道我经历的重复，但也有着脑叶公司成功剧本的记忆吧？
Hokma,确实如此。你不正是通过书籍完成了我们的记忆与性格吗。
Hokma,然而此处的Sephirah仅是Sephirah而已。而非生前的他们。
Hokma,定然各有所感。确是自身无误，但又像是他人……或者说如梦似幻的其他人物。
Hokma,安吉拉。脑叶公司的其他支部下场如何？
安吉拉,应当由闭锁程序封印在地下的某处吧。
Hokma,那些职员和异想体呢？
安吉拉,总会有幸存下来的职员，也会有运气不好死掉的家伙吧。
Hokma,你为了眼前的欲望，抛弃了一切职责。
Hokma,这座图书馆也与脑叶公司无异。单看运营方式可见一斑。
安吉拉,我被囚禁在地下时只学会了将人类视作零件，将其消耗的方法。
安吉拉,真的存在其他可选的方法吗？
Hokma,于是利用了异想体和E.G.O么？
Hokma,为了放大不稳定的情感，再次披上他人的自我外壳。
安吉拉,不是只在接待自己踏足至此的来宾的时候而已吗。
Hokma,比任何人都想逃离过去，却同我一样无法摆脱。
安吉拉,……利用一切可利用的事物而已。
安吉拉,正如你被艾因所利用，我也会利用你。
安吉拉,那个人擅自将你们复活，强迫你们反复遭受痛苦。
安吉拉,不过是为了那个人而在舞台上的人偶罢了。
安吉拉,而我也被毫不负责地降生下来。
安吉拉,这所有的一切，Hokma，你都能接受吗？
Hokma,……
Hokma,这绝非能否接受的问题。
Hokma,我已接受。老师的旨意我不置可否。
安吉拉,太傻了。怎么能这般？你就那么……
安吉拉,……
Hokma,为何犹豫呢？
安吉拉,……算了。
Hokma,安吉拉。因为信任，我才能如此。
Hokma,正是因为这份信任，我决定守望着你。
安吉拉,真是头疼……你也好艾因也罢，一个个脑子都烧坏了吗。
安吉拉,……
安吉拉,果然呢……不是本杰明。
安吉拉,本杰明……至少本杰明是唯一对我说过，我不是人类也没关系的人。
Hokma,是啊。在你眼前的并非本杰明，而是名为Hokma的存在。
安吉拉,……
Hokma,还有，安吉拉。
Hokma,我认为你是人类与否，并不重要。同本杰明一样。
安吉拉,……整理书籍吧。
