Character Name,Dialogue
罗兰,都到齐喽，安吉拉~咖啡先生，香烟小姐……还有暴力小朋友。
Chesed,请问，将我们这群曾同意你的家伙召集起来，是有何用意呢？
Gebura,别搞错了，安吉拉。我们可不是和你一伙的，只不过我们目标一致。
Tiphereth,……可不像那个黑不溜秋的马屁精。
罗兰,我就是个说啥干啥辛勤劳作的苦力，怎么就成马屁精了……
安吉拉,目标一致……没错，就是这样。
安吉拉,只要我们的目标依旧保持一致，你们就不得不站在我这一侧。
安吉拉,我们都因光而盲目。
Chesed,而你依旧被过去束缚。
安吉拉,可笑，仅有我是如此？
安吉拉,你已经遗忘了吗，Chesed？你曾屈服于恐惧的那段时光。
Chesed,我怎么可能遗忘呢~那可是段刻骨铭心的记忆呀？
Chesed,于恐惧中屈服、崩溃的那份耻辱将伴我终生。
Chesed,但我并不想将其忘却。我选择直面它，这是我们这里所有人的选择。
Gebura,就是这样，我并不认为我谁也没能保护，我拯救了那些传承着她的遗志的生命。
Tiphereth,伊诺克的牺牲……也是有意义的，我一直如此坚信着。
Chesed,综上所述，依旧沉浸在过去之中的又是哪位女士呢？
安吉拉,……你们口中的过去根本不值一提。
Gebura,随你的便，毕竟你只会在意你自己的痛苦和感受。
安吉拉,你是想说我很自私吗？
Tiphereth,大错特错，正如你无法理解我们口中的痛苦，我们也是无法理解你的痛苦的。
Tiphereth,尤其是我们根本没有经历过你身上发生的一切。
Tiphereth,没谁真的是别人肚子里的蛔虫，你不说出来就不可能有人能够理解你。
安吉拉,……
安吉拉,事到如今就不要对我说教。
Chesed,溜了呢~
罗兰,有点过分了啊各位，你们非要这般责难安吉拉不可吗？
Tiphereth,这才不是因为我们讨厌她，我们是在为她着想。
Gebura,忠言逆耳利于行。
Chesed,就是就是~我以前和Tiphereth也向Gebura进过不少忠言呢。
Tiphereth,……那个，Chesed。
Gebura,……
Tiphereth,Chesed快逃！
Chesed,那么，失礼了~虽然气氛并不愉快，但这绝对是一次意义非凡的聚会。
Chesed,要炸了呢，回见，罗兰~
罗兰,……他俩一直是那种相处方式？
Tiphereth,嗯。他明知道Gebura会被气得暴走也日复一日持之以恒。
罗兰,那太可怕了。中层以后肯定会变成个战场。
罗兰,所以你就天天夹在中间当和事佬？
Tiphereth,你猜猜看，如果人家不去劝架的话中层会变成什么样。
Tiphereth,不过嘛，他俩还是非常在意对方的，你可别想得太糟噢。
罗兰,那是~就这都没把他给劈了，那她可真是对那家伙在意得不得了啊。
