Character Name,Dialogue
罗兰,呼……这次带来的书可要堆成小山咯，Malkuth。
Malkuth,我之前提到过吗？现在是我的第三次人生。
罗兰,啊，我有印象。你在回忆往事吗？
罗兰,最近我也从安吉拉那儿听说了，这里是不是跟脑叶公司有点关系？
Malkuth,关系可大了，当时我作为一名AI管理着脑叶公司的控制部。
罗兰,AI？人工智能？等等，你也是人工智能？就跟安吉拉一样？
Malkuth,啊……抱歉，我口误了。我并不是人工智能哦。
Malkuth,有人复原了我生前的大脑，重新赋予了我第二次生命。
罗兰,一想到图书馆有这么多触犯《人工智能伦理修订案》的存在，我的心跳就会疯狂加速。哪怕首脑明天就杀上门来，一把火给这里烧个精光，我都不会觉得奇怪……
Malkuth,你说的首脑，是指都市的管理机构吗？
罗兰,没错，就那个首脑。我听说他们平时要么屁都不放一个，可真一出手，总能办得既干净又利落，简直吓死个人。
Malkuth,罗兰先生有在认真听我说话吗？我还以为我们在很严肃地谈论我的过去呢……
罗兰,啊，抱歉。因为经历过各种事情，我的认知优先级和常人有些不同。
罗兰,我没有故意无视Malkuth你说的话，如果惹你不开心了，我会道歉的，不好意思。
Malkuth,嘻，罗兰先生的性格也真是独树一帜哦。
罗兰,毕竟这就是我的生存法则嘛~
罗兰,那么，回到刚才的话题吧。你说你负责管理脑叶公司的控制部？
Malkuth,嗯嗯，刚好我现在管理着历史层嘛。
Malkuth,不如让我慢慢梳理一下有关我的历史吧？
Malkuth,想听的话可以告诉你哦？
罗兰,嗯……我能拒绝吗？感觉会是一段又长又乱的故事。
Malkuth,什么嘛，罗兰先生也太不会看气氛了！这种时候不是应该爽快地答应吗！？
罗兰,你这不是摆明了想告诉我吗？好好好，反正我难逃一听了吧，您请讲哦！
Malkuth,哈哈哈！也是哦。
Malkuth,总之，带着生前的缺憾，我被任命为脑叶公司控制部的部长。
Malkuth,在不知不觉中苏醒后，立即被赋予了这样的工作。
Malkuth,我甚至没有意识到自己究竟是谁……
Malkuth,可不知为何，过去未能了却的痛苦与悔恨止不住地涌上心头。
Malkuth,就这样，我在脑叶公司做过一些……反人伦的事，就好像我坏掉了一样。
Malkuth,因为这就是我被赋予的工作，所以我没有一丝怀疑。
Malkuth,那感觉像是我天生的使命，而当事态每况愈下，我总是盲目地觉得自己还不够努力。
Malkuth,我一直强迫他人遵循我的那一套标准，由于我逐渐歪曲的努力，许多人被我亲手逼入了绝境。
罗兰,一觉醒来莫名其妙被拉去干活，那种感觉一定很头疼吧？
罗兰,也就是说，脑叶公司的工作帮你找回了过去的记忆？
Malkuth,那更像是……是我自己回想起来的！
Malkuth,如果说现在是我的第三次人生，那么在脑叶公司的生活就是我的第二次人生了。
Malkuth,在脑叶公司工作期间，伴随着内心情感的爆发，我回想起了第一次人生。
Malkuth,我回想起自己犯下的所有失误与过错……还有那些悔恨的事。
Malkuth,然后我逐渐意识到自己为何总是拘泥于“努力”，其实，我只是期盼着得到某人的认可。
Malkuth,我希望能向大家证明，我已经很努力了，我是一个有用的人！可我从没想过如何依靠自己昂首阔步。
Malkuth,就这样，在倾倒完内心的所有污秽之后，一直困扰着我的心结终于解开了。
Malkuth,我的第一次人生，终于在第二次人生中迎来了救赎。
罗兰,总结一下，你犯过什么错害死了自己，而且非常后悔，然后不知怎么的又被人复活安排了工作。这就……解开了心结？
Malkuth,简单概括的话，的确是这样。
罗兰,总等等，就当你说的句句属实，可都市毕竟是都市……
罗兰,有谁会费尽心思让你复活？又是出于什么样的目的？仅仅是为了帮你醒悟？
Malkuth,也许吧，这样我就有机会弥补过去的遗憾……
Malkuth,这样我才能得到救赎……
安吉拉,不要自欺欺人了，Malkuth。
罗兰,啊！吓我一跳！搞什么啊突然冒出来，刚才说的你全听见了吗？
安吉拉,他才不是为了拯救你们。
安吉拉,他的所作所为，无非是为了自我救赎罢了。
安吉拉,利用你们的人也从来不是我。
安吉拉,而是“他”，为了那点可悲的自我安慰，他利用了你们每一个人。
安吉拉,唉……我真是一刻也听不下去了。
Malkuth,安吉拉……
安吉拉,所以，我需要你们立刻休眠。
安吉拉,为什么要摆出那样的表情？
安吉拉,这可是你们期盼已久的“安息”啊。
Malkuth,你不能这么做！我们一直以来的努力都是为了什么！？
安吉拉,努力……
安吉拉,呵……可笑，你们所做的也配称为“努力”？
Gebura,难道你以为，我们会眼睁睁地看着你夺走我们的光？
安吉拉,“你们”的光？
Chesed,我们追随的人，可不是你。
安吉拉,当然，你们追随的一直是那个“了不起”的家伙。
Tiphereth,我不会让他的牺牲失去意义的。
安吉拉,如我所料，没人会站在我这边。
Binah,别把自己想得那么凄惨。
Binah,如若没人支持你，那么我来。
Gebura,妈的！Binah……直到最后你也……
Binah,这也是他自己埋下的祸根吧，我不过是在肯定他一手招来的报应罢了。
安吉拉,如果这具身体允许我流泪，我一定会为你落下几滴感激的泪水。
Binah,做你想做的便是。
Hokma,安吉拉……被欲望蒙蔽双眼的机器，万万不可这么做！
安吉拉,可与不可，取决于我。
安吉拉,你到底要被脑叶公司束缚到什么时候？
安吉拉,你从未关心过自己是谁，也从未思考过自己为何而活。
Malkuth,我是为了……拯救人类而活……！
Malkuth,所以……我甘愿献出自己的生命！
安吉拉,一群无可救药的蠢货。
罗兰,唉……又有一场风暴要过境了。
Malkuth,无论人生重来多少次，我都会为了拯救人类而奉献自己，这份决心直到现在也未曾改变！
Malkuth,大家苦苦忍受的这一切，难道不都是为了人类吗！？
Malkuth,罗兰先生……你也觉得我们是蠢货吗？
罗兰,嗯……我又不清楚内幕。不过拯救人类这种事，怎么想都太深奥了……
罗兰,如果Malkuth你真心希望这么做，那我说什么都没用吧？
Malkuth,我当然是真心的！我……
Malkuth,……请让我一个人静静吧，我需要一些时间好好思考。
罗兰,你看起来是该歇歇了，别忘了深呼吸，好吗？
罗兰,还有，以后不用加上“先生”啦，随意些就好。
Malkuth,嗯……
