Character Name,Dialogue
奥斯瓦尔德,这里可是……8点档马戏团！
奥斯瓦尔德,我们把最美妙的香气带给那些失去了花茎的都市市民。
菲利普,什么……？8点档……马戏团？
奥斯瓦尔德,你不会连马戏团都不知道吧？
奥斯瓦尔德,欸，不知道也没关系！接触未知的气味本来就会超级胃疼嘛！
奥斯瓦尔德,我们是致力于播撒人类花种的马戏团团员。
奥斯瓦尔德,如果10人变成小丑就能开出1000朵花来……那将是多么欢乐的世界！
菲利普,别胡说八道了……这……
菲利普,噁……这……真是疯了……！这些全都是……人吗……
奥斯瓦尔德,天呐天呐！看来我们的小丑朋友非常害臊哟！
奥斯瓦尔德,我真该把其他团员先介绍给你。
奥斯瓦尔德,来，美人鱼小姐还有利刃先生？和他分享我们的盐巴吧！
菲利普,够了，住手！！！
奥斯瓦尔德,哎呦……看来美人鱼小姐还没练好鳞切呢……嗓门也太轻了哟！还是说突然怯场了？总之！
菲利普,这些疯子……全都不正常……
奥斯瓦尔德,正常的标准又是由谁制定的呢，你说对吧？
奥斯瓦尔德,如果人人都戴上用密密麻麻的耗子织成的毡帽……那样就算正常了吗！？
奥斯瓦尔德,哈哈！哈哈哈！！
菲利普,至少你们绝不在正常人的范畴内……
奥斯瓦尔德,欸噫，真是个没教养的朋友呀！
菲利普,8点档马戏团……
菲利普,因为你们这些家伙，楔子事务所的人……因为他们没能支援我们，除我之外的人都死在了图书馆里。
菲利普,……如果没有你们这些混蛋小丑，也许师傅和前辈现在依旧平安无事。
菲利普,世上竟有这种巧合……
奥斯瓦尔德,……
奥斯瓦尔德,你也……散发着和我相似的臭气哟！
奥斯瓦尔德,可我依然能闻到香气。你还不够臭。
菲利普,住口！我要在这里……把你大卸八块……
奥斯瓦尔德,哼嗯……真的很香嘛……
奥斯瓦尔德,可如果把香气跟污浊的气味混合在一起，就能生出另一股稀烂的气味哟！
奥斯瓦尔德,真棒，棒惨了。来和我一同演出吧！
萨尔瓦多,菲利普。
菲利普,……师傅？前辈？
菲利普,怎么会是……这副模样……
奥斯瓦尔德,首先向三位主演小丑致以热烈的掌声~
菲利普,这是怎么回事……你到底干了什么……
奥斯瓦尔德,哎呦，脸色怎么这么难看！
奥斯瓦尔德,惊喜可是一种刺激，给人带来欢声和笑语的刺激！
奥斯瓦尔德,只有直面心头最大的脓包再将脓液挤出，才能开出真正的花朵！
奥斯瓦尔德,那香气扑鼻的悲伤之脓~不全部咽下去可就无法纵情狂笑哟？
奥斯瓦尔德,我来帮你一把！
尤娜,菲利普……抱歉，当时我没能给你答复。
菲利普,……
奥斯瓦尔德,噢，多么出人意料的展开！？
尤娜,我……
菲利普,可，可师傅已经有了妻子和孩子……
奥斯瓦尔德,哈哈哈！这又是什么晨间肥皂剧般的幼稚发展！
菲利普,住口……你，不许用这种虚假的幻象羞辱他们！！！
奥斯瓦尔德,你说什么？这哪里虚假了。
奥斯瓦尔德,你现在看到的……不就是被你视为理所当然的，那股稀烂的气味吗？
奥斯瓦尔德,不管怎么说！这就是你长久以来坚信不疑的真实，为什么现在才开始否定呢？
奥斯瓦尔德,你像电视重播一样反复打断这个话题……肯定也有原因哟。
菲利普,闭嘴，住口……！
奥斯瓦尔德,你知道吗？我疏远你的理由，还有他想和你探讨的话题。
菲利普,不是的……这一定是场梦……那……那可恶的小丑……
奥斯瓦尔德,菲利普，别再说了。我们只是……
菲利普,这些家伙全都一样……你们都在玩弄我！
萨尔瓦多,……菲利普。
萨尔瓦多,为此你又付出过多少努力？
萨尔瓦多,因为尤娜没有给出答复，便对我们产生各种肮脏的妄想。难道不是吗？
尤娜,这样的你，还有脸指责我们？
菲利普,够了，够了……我……！
尤娜,你一个人逃走，现在又摆出一副受害者的嘴脸。
尤娜,你做不到，也从未努力过……你只是厚颜无耻地寻找借口罢了。
尤娜,打着拯救我们的幌子独自逃跑，再将责任推卸给我们，以此自我安慰。
尤娜,你只相信自己愿意相信的，因为这能让你心里好过，对吗?
尤娜,装模作样地关心他人可比接受真实的自己简单不少。
菲利普,你们俩……丢下我……就这么走了……
萨尔瓦多,时至今日你仍未醒悟，亏我如此信任你……
菲利普,闭嘴！为什么，为什么你们现在才出来折磨我！！！
菲利普,直到最后还要对我胡搅蛮缠……让我一个人静静！
普鲁托,……看来您需要帮助。
菲利普,……
普鲁托,不想说话吗？好，没关系。我们有的是时间，慢慢来。
普鲁托,人在感到委屈和愤怒时，需有一位贵人出手相助。
普鲁托,就由我来充当那位贵人吧，我便是专程为此而来。
普鲁托,来，不妨握住我的手……我会把手伸到您的面前。
菲利普,是要实现……我的愿望吗。
普鲁托,说出您的愿望，我便会帮助您。对此还有什么不满吗？
普鲁托,我能给予您力量，以报复那为您带来诸多痛苦的元凶。或是赐予您强大的武器，以拯救您心念的那两个人。
菲利普,……
菲利普,我什么也……不想听。
菲利普,什么也不想看……什么也不想说……
菲利普,我好累，我现在只想……痛痛快快地哭一场。
普鲁托,当然，我会帮您。
普鲁托,请聆听她的声音……
菲利普,……
奥斯瓦尔德,什么情况！？现在你也和我一样臭了。
奥斯瓦尔德,你这小机灵鬼！不是能摆出各种丰富多彩的表情嘛~！
奥斯瓦尔德,还有你……哎呀，是新的小丑吗？真是一副了不得的模样哟！
普鲁托,……嗯。您好，在下普鲁托。
奥斯瓦尔德,来得正是时候！我们三人能一同办场精彩绝伦的演出！
普鲁托,我可否问您一个问题。
普鲁托,方才看到的那三者的关系，是否属实？
奥斯瓦尔德,真无趣！都发展到这一步了，那种事情还管它个屁啊！？
奥斯瓦尔德,最最重要的是，观众们已经通过演出获得了乐趣和笑声，没错吧！？
普鲁托,从扭曲的欲望中生出幻象……此处确是将欲望无限放大的场所。
奥斯瓦尔德,嗯嗯……你身上也有那种臭味……
奥斯瓦尔德,难道你也听见声音了？
奥斯瓦尔德,……那就够了！来吧，快来！观众正等着我们呢，请和我一同继续演出吧！
普鲁托,虽然很遗憾，但今夜的马戏到此为止。
奥斯瓦尔德,哎呀，你这人到底在说什么呢！？
普鲁托,菲利普先生，这是邀请函。请您继续前行。
普鲁托,奥斯瓦尔德，您将随我前往更大的舞台尽情施展。
罗兰,那小子真够可怜的。
安吉拉,现在才开始同情他？上次见面时你还说他的性格既自私又危险。
罗兰,不，这……很难说是同情吧……
罗兰,我还是觉得菲利普的性格烂得可以，但他周边的环境对自己的情感毫无帮助。
罗兰,我也说过这样的悲剧很常见，但他确实被逼到走投无路了。
罗兰,我的意思是，他好不容易克服危难成长壮大，却被那个奥斯瓦尔德伤得彻底。
罗兰,单凭这一点，我实在笑不出来。我可没有那种将他人的不幸当作娱乐节目看待的怪癖。
罗兰,啊，当然我也没一味地沉浸在悲伤中。一码归一码。
安吉拉,……的确，毕竟他本人没能克服这一切。
罗兰,不说这个了，我更好奇的是他怎么会变成这副模样？
安吉拉,情感的波动突破了E.G.O的界限，从而产生扭曲现象……使他成为异想体。
罗兰,所以扭曲现象就是这么产生的咯……虽说有些地方还是缺少解释。
罗兰,感觉就像在图书馆里把人变成书一样？
安吉拉,这与异想体的形成过程也有几分相似，只是仍处于不稳定的状态。
安吉拉,扭曲的欲望和情感……你觉得自己能从中发现什么？
罗兰,肯定是我老婆。
罗兰,试想一下那幅画面吧——我没能守护的女孩缓缓朝我走来，我开始绝望地哭泣。
安吉拉,真是坦率。
罗兰,失去一切的人都是这副模样。
不见之子,这里是哪儿？
不闻之子,刚才哪个混蛋在骂我！？
不言之子,……
安吉拉,有趣，竟然分裂成了三人。
不见之子,好甜的声音？
不闻之子,说什么呢？因为我长得像个毛孩所以连招呼都不打吗？
不见之子,有位嗓音甜美的女士正瞪着我们？
不闻之子,对对对，如你所言，这地方怪得很呢！
不言之子,……
安吉拉,相当低级，可来宾毕竟是来宾。
不见之子,什么什么呀，刚才那声音是？
不言之子,……
不闻之子,那家伙肯定在骂我。
安吉拉,各位可有看见我身后这扇门？都请进吧。
不见之子,门……？呃，门挺好的……只是那门在哪儿呢？
不闻之子,她用手指着什么，是叫我们往那边儿滚吗？
安吉拉,快请入场吧，我可不想被那股烦人的力量所牵连。
不言之子,！！！！！
安吉拉,……
罗兰,转化成书籍的过程中，又让一只溜走了……
罗兰,他的本质和原先一模一样，什么都没改变。
安吉拉,这一定是图书馆的意志。
罗兰,图书馆的意志……真搞不懂。
罗兰,虽然知道人心丑恶，可从没想过能到那种地步。
安吉拉,每个人心中都怀有此等想法，无论其如何掩饰。
罗兰,而扭曲会将那些想法毫无保留地暴露出来？
安吉拉,不清楚是否会原封未动地显现。究竟是因为扭曲暴露心灵，还是心灵暴露时产生扭曲，这一点也仍未确定。
安吉拉,但这应当是毫无掩饰的真实面貌。
罗兰,有种脱光了衣服的感觉。
罗兰,没有什么比肆意宣泄情感更叫人难堪的了。
安吉拉,……
