Character Name,Dialogue
艾琳,……发生了什么？我还以为自己已经死去了呢……
艾琳,分明……变成了书籍……但……
奥斯瓦尔德,我们该不会是被提出安可了吧~！？
不莱梅,咯嘤嘤嘤！！嘤嘤！！
不莱梅,咕咕咕咕咯~！！！呜汪哼哼哼！！！
阿尔加利亚,这便是他们的选择所诞生出的结果。
阿尔加利亚,真的很感谢你们，安吉拉……罗兰。
阿尔加利亚,我等现在获得了全新的身体，能够再奏一曲了。
在宪,原来如此。这副模样……
格蕾塔,咱想赶紧回到都市里！咱想跟人们见面！
格蕾塔,现在的咱能够品尝到最棒的味道！！！
罗兰,安吉拉可不是为了你们才做出这种选择。
罗兰,她只是第一次选择了自己真正想要做的事而已。
普鲁托,您似乎也比之前要爽快得多了呢。
普鲁托,不，不仅是您，大家皆是如此。我也感受到了一股相较之前的要更加神圣的力量渗透进了体内。
普鲁托,在这光芒中一切都变得完美了。
伊莲娜,原来是这种感觉啊。虽然我现在一丝不挂，但我终于可以活得如我所愿了……
伊莲娜,我正是为了这一刻才来到这里的……正是为了这个瞬间才诞生于世的！
艾琳,与以往不同了……温柔的声音一直都在渗透进我的内心之中……
艾琳,我的心声正源源不断地传到耳边。我甚至能够听到都市的声音了……！
艾琳,是啊……是因为那光！我绝不会错过这最后一次机会的……
塔尼娅,不错。这力量……让咱们重新再来一轮吧。
罗兰,你们休想碰安吉拉一根毫毛。
菲利普,我们终于达到了各自的巅峰。……现在的我们能够自由地前往任何地方了。
阿尔加利亚,如果你对待安吉丽卡时也能有这样的态度该有多好啊。
罗兰,嗯嗯~随你怎么说。
罗兰,我现在已经决定要追随她了，与她一同踏上那条她想走上的道路。
罗兰,并如我所愿地将身周的一切铭记于心。
阿尔加利亚,你以自己的方式接受了这一切呢。
罗兰,起码是以一种跟你不同的方式。
阿尔加利亚,是啊……来吧，让我们在这温暖的光芒中一同跳一曲美丽而又永恒的舞吧。
阿尔加利亚,全员注意！
阿尔加利亚,为了达成我等的最终目的，那束光必须要被攥入我等的手中。
阿尔加利亚,诸位还愿意让我担任这场终曲的指挥吗？
罗兰,即便变成了那副模样却仍旧始终如一呢。
安吉拉,……为什么？不……不该如此……我没有消失的话……
罗兰,嗨！安吉拉！好久不见，很高兴再次遇见你。
罗兰,果然只能以机械身躯的状态回归于世吗……你现在的脸色很苍白哦。
安吉拉,罗兰，你究竟做了什么？
罗兰,在最后一天的时候你差点就消失了。所以我把你从那根光柱上弄了下来。
罗兰,顺带一提我还在和那个坚韧不拔的苍蓝脑残对抗着呢，请稍等一下。
安吉拉,……你不能这样做。
安吉拉,若是这样，一切便无法完全挽回了……
阿尔加利亚,满盘皆输……
阿尔加利亚,这是最后一次机会……
阿尔加利亚,罗兰……安吉拉！！！
罗兰,直到最后一刻你也该像往常一样呀。
罗兰,像刚才那样大声尖叫可不像你，这会让你露出破绽的。
阿尔加利亚,……真是糟透了。
阿尔加利亚,至少在生命的最后一刻，我想表现得更美丽些。
阿尔加利亚,……我会替你向安吉丽卡问好的，我亲爱的妹夫。
罗兰,……去你的吧。
罗兰,呼，当下的情况已经大致归纳好了吧……
罗兰,接下来你要怎么办？
安吉拉,该怎么办才好呢……
罗兰,你果然变回了之前的那副机械身躯啊。
安吉拉,是啊……虽然我只将那些我不想记起的事物忘却了一阵子，但这也足够令我相当开心了。
罗兰,你先前不是说那些在图书馆中化为了书籍的人们也能够重新复活吗？
罗兰,但迄今为止重新复活的只有苍蓝残响跟他的那些小伙伴们。
安吉拉,其他人理应会像从漫长的梦中醒来一样，于都市之中的某处渐渐苏醒吧。
安吉拉,倘若你没有在最后关头做出那样的失误举动，这一切便不会有不确定的因素了。
安吉拉,托你的福，我现在无法确定人们会在何时何处醒来了。
罗兰,但他们最终还是会活过来吧？真是万幸。我就觉得这事儿不会往坏的方向发展。
安吉拉,但你为何要在这一切尚不能确定的情况下做那样的事？
罗兰,为了做到一件我自己想做的事而任性一次也没什么大不了的嘛。
罗兰,我可不想活成一副一直要瞻前顾后才行的样子。
安吉拉,你是不是又向我隐瞒了些什么？
罗兰,……在我进到这里前，堇紫泪滴曾对我说过一句话。
罗兰,“即便进到了里面，你最后也不必非要被什么束缚着，按照自己的意愿去行事能够带来许多方面的益处呢。”
罗兰,在看到那于光芒中渐渐消失的你时，这句话突然从我的耳前掠过。
安吉拉,听起来她就像是知晓一切一样。
安吉拉,你能够来到图书馆也是因为堇紫泪滴的协助吗？
罗兰,是啊。虽然你曾在书中了解过她，但她真的能够穿越次元与维度吗？对此我的确有些半信半疑，但到头来也确实从她那儿得到了些帮助。
罗兰,还有就是……这个，刚才掉地上了。
安吉拉,……是那张写有愿望的清单。
安吉拉,但凭我现在的这副身躯，连上面所写内容的一半都无法做到啊？
罗兰,哎呀，那就从现在开始让我们为彼此考虑考虑呗。
罗兰,或许这一切并没有一个确切的答案。
罗兰,如繁星一样数不胜数的人们彼此间也都是互相关联着的。
安吉拉,每个人或许都有属于自己的答案吧。
