Character Name,Dialogue
帕梅菈,什么都不吃，可是会饿死的。
菲利普,劳您费心了，我……实在没有胃口……
帕梅菈,事务所几近全灭，心里不好受是理所当然的，可即便如此，还是要狠下心强迫自己吃。
菲利普,……
帕梅莉,你觉得那是你的错？
菲利普,嗯……如果我当时能牵制住他们……
菲利普,如果我能更娴熟一些，更强大一些……
菲利普,如果我……没有逃跑的话……
帕梅莉,那么这一切都是你的责任。
菲利普,……诶？
帕梅莉,你的同事之所以会死，全都是拜你的愚蠢和软弱所赐，你要对此负全责。
菲利普,……
帕梅莉,这下满意了？随便你怎么想。
帕梅莉,无论发生什么，只要为结果编一个合适的借口不就行了吗？
帕梅莉,实际原因对你而言并不重要，你在乎的只是能让自己信服的借口罢了。
奥斯卡,喂，丫头们，别再刁难人家了。
帕梅菈,我才没有刁难他，是帕梅莉在自顾自说话。
奥斯卡,那么，菲利普，现在能打起精神聊几句吗？
菲利普,是，多谢您的关照。
帕梅菈,兄弟事务所本来就该互相帮助嘛。
奥斯卡,对不住，当时我们正在12区处理一桩扭曲事件。
奥斯卡,“8点档马戏团”的受害者开展了一场只为享受欢愉的疯狂演出。
奥斯卡,那幅场面简直就像地狱里的狂欢，我们吃尽了苦头。
帕梅莉,这不，我换了一具身体，这一身可真不对味儿啊……
菲利普,……你安装了义体？可这副模样岂不是触犯了伦理修订案？
帕梅菈,那不是义体，而是从我身上克隆的身体部件，我以前买过活体修复保险。
帕梅菈,帕梅莉的身体已经被撕成了碎肉，除此之外别无他法。
帕梅菈,所幸的是，她的脑袋完好无损。我原以为收尾人保险不过是一群骗钱的贼，没想到这次真的得到了不少好处。
帕梅菈,对了，你们事务所买没买过收尾人保险？
菲利普,我入职那家事务所还没多久，知道的并不多……
帕梅菈,以后最好打听一下，保险分为很多种，条件也是各不相同的。
帕梅莉,能恢复肉身真是万幸，可为什么偏偏是这样的身体……
帕梅菈,什么？情急之下我花了一大笔钱救你，你还说出这种话！
帕梅莉,唉……钱花得再多又怎样？我一照镜子就没了活下去的动力。
帕梅菈,有种你就毁掉这具身体啊？
帕梅菈,不，这次最好死得透透的连脑袋都不要剩下，省得把钱浪费在克隆手术上。
帕梅莉,你是想找打吗？
帕梅菈,来啊，你个贱人。
奥斯卡,……正如萨尔瓦多所说，你泡双和茶的确有一手。
菲利普,您过奖了……
奥斯卡,菲利普，你怎么看？图书馆和扭曲现象是否存在关联？
菲利普,我不知道，我从没亲眼见识过扭曲现象。
菲利普,但那里比我去过的任何地方都要怪异。
菲利普,师傅和前辈在那里……变成了书……
奥斯卡,唉……这无济于事。
奥斯卡,对于扭曲现象，许多协会已经变得相当敏感。
奥斯卡,不仅仅是协会，连翼和手指也对它的成因一头雾水。
菲利普,嗯……
奥斯卡,你的表情告诉我，你对这个话题并不感兴趣。
奥斯卡,管它什么扭曲现象，你现在一心只想回到图书馆，夺回同事们的书。
菲利普,……我是很想这么做。
菲利普,可师傅留下的纸条上写着“切不可鲁莽行事，凡事依靠奥斯卡。”
奥斯卡,那位老友把难处都推给了我吗……
奥斯卡,虽说这是无可奈何的事，但他的妻子和孩子此刻一定很悲痛。
奥斯卡,你有慰问过他们吗？
菲利普,不……还没有。
奥斯卡,为何？
菲利普,……因为我没这个脸。
奥斯卡,我们的下一站是图书馆，做好准备。
菲利普,……谢谢您。
奥斯卡,别会错意了，带你过去仅仅是因为目的地相同。
奥斯卡,而且，我要对那位老友尽到最起码的责任。
奥斯卡,就我个人而言，我不会让你这种收尾人加入我们事务所，你只会把水搅浑。
菲利普,……为了同事……为了报答所受的恩惠而行动，难道是这么可悲的事吗？
菲利普,为什么人人都说不要感情用事，这样做既不称职又显得愚蠢……
菲利普,身为收尾人……不，身为都市人，难道就不能为了他人做些什么吗！！！
帕梅莉,我烦得听不下去了，他哪句话否定你的为人了？
帕梅莉,只是我们事务所不接纳有你这种想法的收尾人而已，别自作多情了。
帕梅莉,像你这种容易被情感左右的家伙，比任何人都不可靠。
帕梅莉,为了你一个人，哪怕牺牲我们全部也没关系吗？
奥斯卡,你一定坚信着，自己是为了某人而行动的吧？
奥斯卡,你觉得自己与冷漠自私的都市人不同。
奥斯卡,你相信这是为了更崇高的价值而奋斗。
奥斯卡,但这绝对是自私自利的想法。
奥斯卡,而在自私自利的想法中，那些自我欺骗，用无私包装自私的人，往往是最危险的类型。
奥斯卡,人类不可能有利他行为，哪怕献出生命，也仍是为了自己。
奥斯卡,这是极其危险的利己主义，它会腐蚀周遭的旁人，最终招致毁灭……
菲利普,我……！
奥斯卡,话虽然说得像模像样，可我不禁好奇，你那一腔怒火真的是为了萨尔瓦多和你的前辈吗？
菲利普,……我会做好准备。
罗兰,菲利普那小子好像被伤得不轻，不过我赞同奥斯卡的说法。
罗兰,“不是为了自己，而是为了某人”，没有比隐藏在这个表象背后的利己主义更恶毒，更危险的了……
安吉拉,这是最可怖，最丑恶的想法。
安吉拉,你越认为那是值得付出牺牲的正义……
安吉拉,就越是沉浸在自负的情感中难以自拔，对旁人冷眼相待，一意孤行……
安吉拉,打着正义的旗号践踏一切，将所有的暴行正当化……
罗兰,哇……这次我们真的是心灵相通欸，有被感动到哦。
安吉拉,那来点香槟？
帕梅莉,喂，你老皱着眉头干嘛啊？看着真叫人心烦。
帕梅菈,他还没缓过来，稍微体谅一下吧。
帕梅莉,一想到背后还站着这么个家伙，叫我怎么能专心战斗？
菲利普,……行了，请不用管我，我不会妨碍你们。
奥斯卡,一旦察觉你妨碍到我们，我会毫不犹豫地将你刺穿。
安吉拉,各位来宾，欢迎你们的到来。这里的气氛似乎有些微妙？
奥斯卡,本以为是纯粹的机器……没想到是与血肉混杂在一起的？
帕梅莉,别拿那种眼神瞪着我们，他只是确认一下，又没真想杀了你。
安吉拉,一群野蛮人，看来你们从没学过礼节？
帕梅菈,呃……我听说图书馆的馆长待人很和善？
安吉拉,像你们这种二话不说就对主人动手的家伙，我没有以礼相待的必要。
