Character Name,Dialogue
不来梅,咴咴咴~咯咯咯！！！汪~！！汪汪汪！！！
普鲁托,再敲几下。门就会开！
伊莲娜,力大无脑的家伙。
格蕾塔,哈哈！料理终归是体力的较量嘛。
伊莲娜,说是就是呗。
阿尔加利亚,朋友们？会把这里的人吓得躲起来的……
阿尔加利亚,初次与各位一同登门拜访，可要有礼貌哦？
菲利普,太吵闹的话，也许就不会被当作客人对待。
塔尼娅,那只好冲进去砸个稀巴烂了。
奥斯瓦尔德,原来这就是图书馆啊~！从前只闻其名，今日首次光临！
艾琳,奥斯瓦尔德很长一段时间都在破旧的场地表演马戏……
奥斯瓦尔德,所以无论何时都超级感谢！
奥斯瓦尔德,幸亏有你们，我才能踏出那顶花香扑鼻的帐篷哟~！
塔尼娅,你知道自个儿有多能折腾人吗？咱们这边可是差点就减员了。
奥斯瓦尔德,那时的我啥子都看不见嘛。还以为大家要同台共演嘞……
普鲁托,但最后能相随同路，在下依然深感万幸。
艾琳,我也一样……拜阿尔加利亚大人所赐，我才能得到真正的救赎。
阿尔加利亚,哈哈，不……哪里的话呀，朋友们。
阿尔加利亚,若是孤身一人便无法到达此处。这还得多谢各位哟。
阿尔加利亚,话说回来……今天好像没人迎接呢？
不来梅,咯咯咯！！咯！！！嘤嘤嘤~咯咯~咴！咯！！
塔尼娅,想必是怕得躲到后头去了。
安吉拉,……你们脑子都进水了？竟然靠蛮力闯进来。
罗兰,以这种方式入场的来宾还是头一回见。
普鲁托,这也标志着图书馆的实体化进程，已经达到只凭武力便可进入的地步了吧？
伊莲娜,不是敲过好几次门了么？
安吉拉,敲门后没人回应就该适可而止吧。
阿尔加利亚,别这么生气嘛。谁让我们也有些……心急呢。
阿尔加利亚,普鲁托？拜托啦。
普鲁托,是，我这就给您修好。
罗兰,……
安吉拉,……奇点？
普鲁托,什么奇点？一派胡言……
奥斯瓦尔德,这可是魔法！
普鲁托,我们是立足于边界，意图追寻答案的求道者与艺术家。
安吉拉,你们没有被扭曲吞噬……这怎么可能？
格蕾塔,要么吃掉！要么被吃！咱们正在那岔口惊险地走钢丝呢！
伊莲娜,瘆白司书已经完全变成人类了么……现在倒也说不上白了。
伊莲娜,你体内有柔嫩的肉，流淌着鲜红的血。
伊莲娜,我要把你所有的血管都抽出来吃。机器变成人类后的血管……究竟是怎样一番风味呢？
格蕾塔,伊莲娜！比起生吃，做成料理会更好吃唷！
伊莲娜,……真叫人垂涎三尺。
安吉拉,我尊重你们的喜好，但那种个人嗜好烦请在私下场合交谈。
罗兰,所以你们有何贵干？这里没有为你们准备书籍。也没有发出过邀请。
菲利普,听说我们寻求的答案就在图书馆中。在那最深处……
奥斯瓦尔德,我们是专程来啃书本的哟！
普鲁托,安吉拉。我知道您快要完成那本书了。
安吉拉,……我可从没说过会拱手相让？
阿尔加利亚,我们也没想征得同意呀。
罗兰,……
阿尔加利亚,啊，对了。罗兰……很久没像这样跟你说话了呢。
罗兰,……
阿尔加利亚,不回话吗？
阿尔加利亚,真冷漠诶。亏我给你带了好消息……
阿尔加利亚,我们是和你非常想见的人一起来的唷。
罗兰,……什么？
阿尔加利亚,我本不想让你们再会。你们就如同美丽的蔷薇与粗暴的野兽……
阿尔加利亚,但直到最后都无法相见的爱情故事……未免太痛心了吧？
阿尔加利亚,所以特意带着一起来啦。
罗兰,你在胡扯什么……
在宪,许久未见，罗兰。
罗兰,……我们以前见过？
在宪,我怎会不认识你呢。都已经听腻烦了。
在宪,从安吉丽卡口中。
在宪,……哎呀呀。这样会不会太过火了呢？
罗兰,……
阿尔加利亚,怎么了……面对这梦寐以求的重逢，却连话都说不出口了？
罗兰,这……这是什么狗屎？
在宪,如你所见。还是说，这比以往更加美丽的容貌令你感慨不已呢？
罗兰,……阿！尔！加！利！亚！！！！！！
阿尔加利亚,好可怕呀……这突然是怎么了？明明终于见到了你心爱的安吉丽卡。
阿尔加利亚,莫非……这次也是一见钟情？又想从我身边夺走安吉丽卡？
阿尔加利亚,不。这次可不一样。
阿尔加利亚,安吉丽卡你高攀不上。不能因为你这种人毁了她一辈子。
罗兰,……看到她那个样子，你一点想法都没？
阿尔加利亚,看来你被那更加完美的模样吓得不轻呢。
罗兰,别想死得痛快。我会把你活活咬碎，骨头也碾成灰……
阿尔加利亚,时至今日仍被过去蒙蔽双眼。愚蠢的罗兰。
阿尔加利亚,干嘛不和我一样看向前方呢。你知道在宪他有多辛苦吗？
在宪,将混杂在钢琴中的尸块分拣归类，这让我倍感吃力。
伊莲娜,我也没少受累吧。从滚烫发胀的尸堆中滤出安吉丽卡的血可绝非易事。
安吉拉,……钢琴？
阿尔加利亚,什么？哈哈哈……
阿尔加利亚,啊……哎呀。难道现在还不是时候……？
阿尔加利亚,对不住啦，这可怎么办呢，罗兰？
阿尔加利亚,我好像……搞砸了你的计划？
罗兰,……
安吉拉,是指……钢琴师吗？
阿尔加利亚,……
不来梅,呜咴咴咴咴咴！！！汪汪咯咯咯！！！
格蕾塔,哈哈哈！！！咱都晓得的事你不晓得啊？真是颗聪明蛋儿！
奥斯瓦尔德,这部戏比想象中的更加酸臭了唷~！
阿尔加利亚,哈哈哈！！！啊~本来还想忍住的……
阿尔加利亚,又被逗得笑出眼泪了呢……
阿尔加利亚,好一个天真烂漫的机器崽子……
阿尔加利亚,安吉拉……就是你杀了那黑心小鬼的另一半呀？是你杀了我妹妹……
普鲁托,看到这一幕……连我也不禁笑出了声。
塔尼娅,白夜与黑昼引发了扭曲现象……从而导致钢琴师的出现。
