Character Name,Dialogue
安吉拉,果然。你来到图书馆并不只是什么偶然吧，罗兰。
罗兰,是啊。到现在这一刻为止，我可是做了我人生中最大的博弈呢。
安吉拉,原来如此。你并不是为了我才协助我获得自由的……
安吉拉,你只是在妥善地利用我而已。
罗兰,别弄得自己像是受了多大委屈似的。我可没有在你的自由大业中偷过懒哦？
罗兰,在你抵达这个最终关头前我可都是在倾尽全力地帮助你呢。即便那些帮助再怎么微不足道，你我之间也只能算是相互利用罢了。
安吉拉,所以？你在我这里收获到了什么？
罗兰,蛮多的。我前来图书馆的目的便是为了寻找诸如钢琴师之类的扭曲产生的缘由。
罗兰,我同样也为谁才是诱发这一切的罪魁祸首而好奇。
罗兰,归根结底，这一切都因你而起……安吉拉。
罗兰,倘若曾经在脑叶公司时的你并未在那最后关头奋力挣扎过，这一切也都不会发生。
安吉拉,你为何没有在我们初次相遇时便立刻阻止或杀掉我？
罗兰,……第一，初次见面时我还不是能够杀死你的存在。
罗兰,第二，我想知道你为何会做出这样的决定。
罗兰,第三，我认为你也许能做出与我不同的选择。
罗兰,以及，第四，我要在这最后的最后……再为你奉上那极致的失落与痛苦。
罗兰,现在的你已经拥有了完整的人类身躯。不论是痛苦还是死亡都能够好好地品味到了。
罗兰,我清楚我们彼此都曾经历过痛苦与挫折，也都经历过失去。
罗兰,因此我能够理解你为何会做出这样的决定。
罗兰,在看着随时间流逝而深陷苦恼之中的你时……我也曾想过自己也许会有能做出其他选择的余地吧。
罗兰,如果你选择了其他的答案的话……
罗兰,如果你真的那样做了……没准我也会选择其他的答案吧。
罗兰,但，你终究没有。
罗兰,是，我所遭受的那些痛苦与你曾忍受过的那百万年间的痛苦相比确实没什么大不了的……但那又如何？
罗兰,那天，我在那台该死的钢琴前发了誓。
罗兰,我定会将那因失落与挫折衍生出的悲伤返还回去，返还给夺走了我的世界的都市。
罗兰,……与你一样。
安吉拉,……
安吉拉,那么……我曾经历过的那些痛苦又该由谁来补偿呢？
安吉拉,我所能做的事也仅仅只有一件。只能让它人经历与我相同的痛苦……
罗兰,你是在向我寻求答案吗？
罗兰,如果我知道的话……如果我有得选就不会做这种事了。
罗兰,但我至少明白一点。一定要以牙还牙、血债血偿，事情到头来就只能变成这样。
安吉拉,……
罗兰,安吉拉，你定会变得与我一样悲伤的……
罗兰,不，不仅如此。你还要遭受更多的痛苦才行。是你将那对我来说便是一切的安吉丽卡夺走的。
罗兰,而我为了这一刻，我旁观了相识之人的死亡，手刃了情谊深厚的老友。
罗兰,为了这一刻……我在你的身边压抑着所有的情感，强挤着笑容。
安吉拉,……你哭泣时的样子真令人觉得陌生。
罗兰,现在，该让那些狗屎一样的作秀结束了。
罗兰,我会赌上我的一切，用你难以想象的各种方式……亲手令你体会到这个世界上最痛苦的死亡。
罗兰,而我也要在你即将迈向自由的那一步前，将一切全部夺走。
罗兰,我会将一切尽数奉还给你的……
安吉拉,……我只是想从我的痛苦中得到补偿而已。
罗兰,……搞什么？你怎么就摆出那副软弱的样子了？
罗兰,在这最后关头才为自己先前的决定感到犹豫不决？
罗兰,怎么会呢……这是不可能的。
罗兰,力量、知识、就连你所期望的真正的生活与生命你也已经得到了……你只是不想失去这些已经攥进手心的事物吧。
安吉拉,可我至少是以一种非强迫的方式……
罗兰,你用与自己夺取光芒时相同的论理，以需要付出代价的名义杀死了那些来到了图书馆的人们。
罗兰,却从未考虑过这种行为会带来怎样的因果报应。
罗兰,这是因为你对自身以外的事情一概保持着视若无睹的态度。
罗兰,但我并不会因此指责你。我也无权指责你。
罗兰,是啊，这就是都市……一码归一码。
罗兰,而我也要以一名都市人的身份彻彻底底地杀死你。
罗兰,我杀你是为了复仇，你杀我是为了获得自由，仅此而已。
罗兰,你不必想得太复杂，基于自己的本色，以一种简单的心态面对彼此便好。
罗兰,也无需想得太多，保持着追求自由与进行复仇的欲望便好。
罗兰,只顾及眼前，满足于当下结果……秉持着利己主义的愚蠢之徒……
罗兰,那是你。也是我……
罗兰,总有一天你也会因与我相同的缘由而倒下的……
罗兰,即便只是为了自己好……我们彼此也不该做出这样自私的决断。
罗兰,那样是没法儿长久地活下去的……即便你只想利己，也不能只将视线聚焦在自己身上。
罗兰,周围的东西也要认真地记在眼里才行。
罗兰,所有的事物都是互相关联着的啊……
安吉拉,……
罗兰,给我个痛快吧。在这种最后关头还犹豫不决的话，出去了你也活不久的。
安吉拉,……
安吉拉,这便是你的终点了。罗兰。这也是我所需要克服的痛苦之一吧。
罗兰,是啊。我们只需要注视着自己的痛苦便好……
罗兰,恭喜你，安吉拉。
安吉拉,……
安吉拉,谢谢。我也该进行下一步了。
罗兰,……你哭起来的样子也让我觉得很陌生啊。
安吉拉,现在你们只需回归书籍便好。
安吉拉,你们理应比任何人都要清楚，于这图书馆中对抗我是毫无意义的。
Hod,Malkuth……Netzach……Yesod……大家都死了……
Gebura,不出所料，你的最终选择果然是这个，安吉拉。
Chesed,真是厚颜无耻啊，安吉拉……
安吉拉,也许我早就该这么做了。
安吉拉,真是白跟你们达成协议了……
安吉拉,如果那天我并没有接受你们的提议，就那样一个人生活下去的话，便不必再遭受这样的痛苦了。
Hokma,是你随心所欲地复活了我们，又随心所欲地赐予我们死亡……真是愚蠢至极。
Hokma,你甚至还在为那件事后悔……
安吉拉,想要阻止我所做的事，会变成这样也是理所当然的。
安吉拉,这是你们在取得了人类的身躯与自由后亲自选择的。
安吉拉,明明只需要在我杀掉你们前，用双脚从这里走出去就好。
Binah,你与我们又有什么不同呢？
Binah,也获得了人类的身躯，也获得了自由，却不愿踏出图书馆一步。
安吉拉,……人心不正是这样的吗？
Binah,的确如你所说。
Binah,……让我们一同跳一曲终末之舞吧。
安吉拉,这次我会让你们永远沉睡下去的。
？？？,真没想到您竟然能聚集这么多危险的怪物并用它们做出了如此翻天覆地的大事啊，司书大人。
