Character Name,Dialogue
阿尔加利亚,太令人失望了。
艾琳,万分抱歉，阿尔加利亚大人……
阿尔加利亚,我本以为来到这里定能寻得答案。
阿尔加利亚,但又为何无人知晓……
郊区居民甲,咳呃……在郊区这鸟不拉屎的地儿你还想找到点什……
阿尔加利亚,殷红迷雾不正是从此处开始活跃，运用起那份力量的吗？
郊区居民乙,嘤红咪雾是撒子哟……俺们只是用这废弃研究所遮个风挡……
阿尔加利亚,一定会有什么东西……你觉得呢？
郊区居民丙,怪物马上就要来了。求求您……放我们走……
阿尔加利亚,一无是处。
郊区居民丁,说了我们谁都不了解这个设施！为什么就是听不进去啊！！
阿尔加利亚,最好赶紧想起些有用的情报呀。我真是快要疯了。
阿尔加利亚,循着那动人的天籁之音，我找遍天涯海角。夜以继日地寻找。
阿尔加利亚,最后只剩L公司、图书馆……以及此处。
郊区居民戊,咳……要来了！再不关门它们就要冲进来了！！！
阿尔加利亚,都市正中出现的钢琴师……夺去了我的“手足”……
阿尔加利亚,我却不在现场……
阿尔加利亚,直到我姗姗来迟，眼前所见……空余宏伟的钢琴，却未见钢琴师。
阿尔加利亚,我的手足化作钢琴上的琴键，奏响终章……
阿尔加利亚,不可名状之形。
阿尔加利亚,却又并非因恐惧而噤声……
阿尔加利亚,多么美丽的身姿……
郊区居民己,啊啊啊啊！！！！没听到那发条声吗？！要来了啊！！
阿尔加利亚,放任她被一个低能儿拐走一定是我的过错。我没能拦下……
阿尔加利亚,毕生无法互相理解，孤独寂寞的我们……
阿尔加利亚,演奏之时终得领会彼此……
阿尔加利亚,我失去了那个可爱的、不谙世事的假小子，在痛苦与绝望中颤抖。
阿尔加利亚,再次见到我的手足，为那迷离惝恍的音律战栗时……
阿尔加利亚,睁开双眼。我见到了……
阿尔加利亚,我能为那孩子做些什么呢……
郊区居民庚,啊啊……来了……绝对是……
阿尔加利亚,以瑰丽的旋律……永续安吉丽卡的追悼……
阿尔加利亚,温柔之音低声私语……
阿尔加利亚,再次奏响彼时乐章。
阿尔加利亚,遵循那个声音徘徊四顾，却追寻不到明晰的答案……
郊区居民庚,呃啊啊啊啊！！果然……现在……到处都是巨齿发条！！大家快逃！！！一根毛都不能教它们碰到！！！
阿尔加利亚,……
阿尔加利亚,不。我想见到的可不是这种粗鄙的怪物……
阿尔加利亚,普鲁托？艾琳？
普鲁托,是，阿尔加利亚先生。
艾琳,令其停转即可？发条在齿轮面前不值一提。
郊区居民壬,……你们……你们是怎么把那些血肉发条……你们到底……
阿尔加利亚,此刻我的脑中终于浮现了一个念头。
阿尔加利亚,没错。殷红迷雾沥血起舞献上的美丽，与其多么相似呐。
阿尔加利亚,钢琴师与殷红迷雾之美，颜色不同却又那么一致呢……
郊区居民癸,兄弟们，放弃吧……这家伙比怪物还可怕……
阿尔加利亚,一无所有。我的手中只剩下这邀请函……
阿尔加利亚,艾琳，可否暂借一会儿你的牧群？
艾琳,是，请。我们不随您去也无妨吗？
阿尔加利亚,不必担心。去去就回。时机尚未成熟……
阿尔加利亚,普鲁托暂且留在此地多多调查吧。
普鲁托,是，乐意之至。
罗兰,那家伙身旁的两人一定是扭曲……
罗兰,然后那个人一定在哪见过……
安吉拉,……苍蓝残响看起来有些悲伤，是错觉吗？
罗兰,苍蓝脑残。失去妹妹的打击让他彻底疯了。
罗兰,因为钢琴师失去珍重之物的人要多少有多少。疯也疯得好看点儿啊……
罗兰,况且像他这种强大的家伙要是出了巢，郊区的人无论如何都是拦不住他的。
安吉拉,他的妹妹叫安吉丽卡。和我的名字很像。
罗兰,嘛，确实。含义相同吧。
安吉拉,说起来，巨齿发条是郊区的怪物吗？
罗兰,郊区那破地方聚集了被都市的首脑拒绝并遗弃的东西。
罗兰,就像个丢满都市杂质的垃圾场。见见郊区可不容易，不少人甚至不知道它的存在。
罗兰,郊区的怪物大多是人造的，或是从外界带来的。
罗兰,而且据说里头还不乏具有知性和情感的家伙。
罗兰,在人类时代的都市中，它们是绝对无法被接受的杂质。
安吉拉,……像我一样。
阿尔加利亚,……
安吉拉,各位来宾，欢迎你们的到来。我是图书馆的馆长兼司书，安吉拉。
阿尔加利亚,安吉丽卡……？
安吉拉,我叫安吉拉。
阿尔加利亚,是呢。你这般丑陋，又怎能是安吉丽卡呢。
安吉拉,少说废话乖乖入场不好吗？
阿尔加利亚,让机器也能变成人类的力量……
阿尔加利亚,果然需要催化……
阿尔加利亚,等我，安吉丽卡。
罗兰,哈……结果让他逃了。
安吉拉,一本像样的书都捞不到。
罗兰,真想看看疯子的脑海里都装着些啥……
安吉拉,非要看他的书不可？
罗兰,……说实话，我有个人原因。
安吉拉,苍蓝残响似乎一直在追逐殷红迷雾……
安吉拉,那么用殷红迷雾的书说不定能引起苍蓝残响的注意。
罗兰,感谢你的帮助，但殷红迷雾的书要从哪儿搞到呢？曾经的殷红迷雾已经不在世上了。
安吉拉,也并非毫无办法。
安吉拉,……苍蓝残响是因为扭曲失去妹妹的。
安吉拉,他知道扭曲的起因是我吗？
罗兰,他不是普通人，说不定已经察觉到了。
安吉拉,那么，苍蓝残响的意图是向我复仇。
安吉拉,不……应该说，被扭曲夺走珍重之物的人们不记恨我才更显奇怪。
罗兰,嘛，是这样吧。莫非你后悔了？
安吉拉,我不清楚。能明确的是，我并不觉得针对我的仇恨累积起来是件好事。
安吉拉,然而因为一个将我监禁的人，都市终将遭受痛苦。
安吉拉,如此来想会好很多。
安吉拉,与苍蓝残响是否想要复仇无关。
安吉拉,只是我的欲望与都市人的欲望相冲突而已。
罗兰,是啊。一码归一码。
