Character Name,Dialogue
？？？,都市今日亦是物欲横流，熠熠生辉。
？？？,人类应于此种永恒续写各自的故事。
？？？,今日，一颗名为“图书馆”的新星升入天空。这颗星又会以何种梦想照耀都市呢……
？？？,惟愿这颗星不会将都市从美梦中唤醒。
罗兰,你这会儿在忙什么呢？
安吉拉,列愿望清单啊，就是我在一切结束能够离开这里后想要做的事。
罗兰,这么长？
安吉拉,我连想要尝尝你提过的炖菜也写上去了。
罗兰,你还真惦记上了嘿。
安吉拉,毕竟我能记住一切事情。
罗兰,那你也就没必要写那清单了吧？
罗兰,啊，那个，无意冒犯。
安吉拉,……写下来是为了确保不会遗忘。
罗兰,什么？你是说……
安吉拉,我确实越来越接近人类了。
安吉拉,我能感到自己的记忆开始变得残缺，逐渐淡化。此前我从未有过这种体验。
安吉拉,尽管想要抹消的记忆还有很多很多。
罗兰,恭喜啦，各种意义上地。你的夙愿终于要成真了。
安吉拉,谢谢。所以现在我开始在纸张上书写有关未来的梦想。
安吉拉,定几个小目标……就像你之前说过的那样。
罗兰,梦想啊……
安吉拉,罗兰你呢？离开这里后，你打算做的第一件事是什么？
罗兰,这个嘛，我在考虑辞退收尾人的工作。各种方面来讲，累了。
安吉拉,真的？虽然不知道你以前是个什么样的收尾人，但从周围的人来看，你很适合这一行。
安吉拉,并非仅仅是擅长战斗，你也非常善于处理种种状况完成工作，或许你真的如你所言那般优秀。
安吉拉,那些对于收尾人来说都是优秀的素质。
罗兰,那可不，没有哪一行能比收尾人更适合我了。
罗兰,但我现在想休息了。已经够了。
罗兰,受人之托满手血腥，真的受够了……
安吉拉,那你想从事什么工作呢？
罗兰,非要刨根问底的话……
罗兰,等完成这里的工作后……
罗兰,嗯……我想不出来。
安吉拉,没有想法的话，那不如来协助我？
安吉拉,这次我会正式雇佣你。我也可以为你支付应有的报酬。
罗兰,是什么样的事？
安吉拉,还能是什么，都写在纸上了。
罗兰,我刚才也说了……
安吉拉,这次不再需要见到血腥了。
安吉拉,我也看厌了血腥。
安吉拉,每每想起你曾向我提议的未来规划，我总会下意识地想到自由。
安吉拉,在我实现复仇获得自由后，要是能无忧无虑地周游世界就好了。
罗兰,如果你要我保护你平安地完成旅行……
安吉拉,说什么呢？我的安全我自己能保证。你只要陪我说说话就好。
安吉拉,回顾那些拜访过我们的来宾，恐怕我永远找不到第二个像你这般合得来的朋友。
罗兰,朋友……
安吉拉,难道这只是我的一厢情愿？
安吉拉,我认识的人很少，与那些人的关系也并不愉快。
安吉拉,我们每个人只是在舞台上扮演指定的角色。
安吉拉,对他们而言，我不过是个朗诵剧本的工具与机器，有过之而无不及。
罗兰,是指司书……啊不，应该是Sephirah和职员……
安吉拉,如果我们是在不同场合，不同情况下认识的……那么我们兴许能成为好同事。
安吉拉,总之，你意下如何？
罗兰,嗯？
安吉拉,一切结束后，我交予你的那份工作。
罗兰,啊，那个嘛……我会好好考虑一下的。
罗兰,听起来也不坏。
罗兰,放下一切，好好看看这个世界。
