Character Name,Dialogue
阳,菈拉小姐，您好……这是您的指令。
居民甲,“致菈拉：明日正午之前在厉利的生日蛋糕中放入3根针。”
居民甲,是指隔壁那位，明天就要庆生的厉利阿姨……吗？
阳,我也不清楚……
居民甲,……如果阿姨吃到针受伤了，那可怎么办啊？
阳,……您不会知道的，也许厉利女士能在吃到针前幸运地察觉到它们的存在。
阳,或者，菈拉小姐可以提前告知蛋糕中藏有针？
居民甲,诶……可以把指令的内容告诉她吗？
阳,既然指令没有明确说明，那应该没关系……
居民甲,那也很奇怪啊，这些天我一直收到这种莫名其妙的指令……这有什么意义吗？
阳,如果不执行指令，就不能得到食指的保护……您也是有家室的人吧？
阳,希望您能切实执行指令。
居民甲,……好。
阳,李德九先生，您好。新的指令来了。
居民乙,啥子哟……你们又要俺干啥啊！？
阳,我很抱歉，就算您死缠烂打，我也无能为力。
阳,来……请做个深呼吸，然后朗读这则指令吧。
居民乙,……“致李德九：与您遇见的第3个人猜拳且出拳头，若您获胜则拔掉对方59根头发……”
阳,……
居民乙,……“拌以只吃泡沫塑料长大的黄粉虫，海鲜奶油意粉酱涂抹3次后用叉子将其吃掉。”
居民乙,你们这帮龟孙……要俺吃那鬼东西？？？
居民乙,上周还叫俺用地沟油炒盘意式烩饭，给隔壁家智敏送去……那小子信得过俺，问都没问就吃下去了，结果被抬进了急诊！
居民乙,俺可去你妈的吧！
阳,我很抱歉……我只是传达指令而已……
居民乙,算俺求您了……您要多少钱俺都会给的！要不给俺换条指令吧，就这一次……
阳,我也想……可我无权这么做。
阳,……每个人都要在指令面前接受考验，希望您能克服这道难关。
居民乙,……
格洛丽亚,阳传令！好久不见呀~
阳,格洛丽亚代行者，您好。格洛丽亚也是为这里的拉马库斯先生而来的吗？
格洛丽亚,嗯~是呀！我收到指令了嘛，嘿嘿。
阳,打扰一下，拉马库斯先生？您在家吗？我们有话对您说！
格洛丽亚,嗯~？这样可不行哦！都交给我吧~
格洛丽亚,诶~您在这儿呢！
居民丙,……求求你们……我真的……真的只是遇到了一点小问题……
阳,您没有执行指令吗？
格洛丽亚,嗯！所以我收到了“将拉马库斯的脑叶搅个稀碎”的指令呢~
阳,拉马库斯先生……代行者的指令……只有在某人没有切实执行指令时才会下达。
居民丙,……别胡扯了，“杀掉你画的画。”……这指令像话吗！！？
居民丙,我把我这辈子的画全找出来，涂上黑墨……拿刀捅破……还用各种手法把死人给画出来……能做的我都做了啊！！！
格洛丽亚,嗯~？方法很简单嘛~
格洛丽亚,随便逮一个人，往他脸上涂两笔，然后再杀掉不就行了吗？
居民丙,……
居民丙,这……这……这不是我的错！要怪就只能怪指令没说清啊……！
格洛丽亚,脑子不灵光可怪不得指令呀~
居民丙,你们这群神经病！为了活命我什么事都做了。
居民丙,我把数字传给一个叫黎曼的家伙，把独角兽玩偶搬到公园里，甚至还帮惠仁那小子找到了在白墙上看到绿色的方法！
居民丙,迄今为止的指令我都有好好执行啊……
格洛丽亚,那你这次也该好好执行嘛~
阳,您的努力我完全理解，可是……
格洛丽亚,既然指令已经下发给我们了，那我们也该遵照指令才行呢~
阳,……我很抱歉。
居民丙,呃啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！！！！
阳,……乔恩先生，您好。这是您的指令。
居民丁,“致乔恩：明日3时38分在某十字路口望向东方并挥7次手。”
居民丁,真的假的，只要做这种简单的事情就能得到保护？你们不像其他帮派那样要收保护费的吗？
阳,嗯……是这样的，只要按照条件执行指令就可以了。
居民丁,我明白了！你们食指真是超级大好人呐！
居民丁,没有那种高得离谱的要价，和其他地方完全不一样。
阳,您不仔细想想吗？这座都市可没有免费的午餐……
居民丁,不是说只要遵照这些偶尔发来的指令就可以了吗？
居民丁,巢突然就塌了……危险的家伙在居住区里明目张胆地晃悠……
居民丁,那些帮派不是讨要一大笔钱，就是逼人签下不合理的契约。
