Character Name,Dialogue
紗世,不，这可不行。
居民甲,我真的一眼都没有了……（注：眼-世界观中的货币单位）
紗世,既然没钱，那您二位就不该奢求我们的保护了，对么？
居民乙,外面到处都是雾，我们连里面藏着什么都不知道……出去只有死路一条啊……
居民甲,可就算待在家里，指不定什么时候还会有怪人冲进来……
楊,真是的……这俩是不是在巢里娇生惯养惯坏了，感觉像在对牛弹琴嘛。
楊,亏我还以为这户人家是这片街区里最有商业头脑的呢。
銀,紗世，要动手吗？
紗世,请吧，这二位也该学学后巷的规矩了。
銀,喂，今天给你们免费上一课。
楊,那就一人卸一条胳膊。
居民甲,求您开开恩呐……你们就这么无情吗……
紗世,当我们还在后巷的污血和泥淖里摸爬滚打的时候，怎么没见您对我们开恩呢？您二位不也只会在巢里拍着滚圆的肚子，悠哉悠哉地看我们的笑话么？
紗世,越想越来气，阿楊，把这位的眼睛也挖出来。
楊,晓得嘞~
銀,先收你一条胳膊。
居民乙,怎么会有你们这种人，二话不说就冲进别人家里，还拿刀指着脸讨保护费……
楊,难道我们没保护你吗？先前霸占这里的坏蛋可都是被我们收拾干净的哟。
楊,那么眼睛我也收下啦~
居民甲,怎么办……这以后可怎么活……
居民乙,巢一夜之间就塌了……
銀,真是两个巨婴，按照后巷的标准，收你们这么点东西算是客气的了。
紗世,好了好了~我们该回去了，您二位可别忘记今天的教训哦。
紗世,收到东西就该给予相应的回报，如果掌控这片街区的不是我们黑云会，而是环指的话……
紗世,哦呦，光是想想都觉得可怕。
紗世,对了，还请在明天之前搬离这间屋子。
紗世,阿銀，把这二位的房契也收过来。
楊,明天换班的朋友可就没我们这么和善了，这边建议赶紧收拾东西滚蛋哟~
紗世,既然面料和保护费都到手了……那我们现在就去上交吧。
紗世,对了，阿銀，L巢的情况如何了？
銀,竞争相当惨烈，拇指和食指已经很久没在一个地方斗上这么久了。
銀,看来他们都想抢到这块宝地。
紗世,我们不也一样？
楊,“锈链”那伙人变得越来越难对付，这几天我们和“剑契”也发生过好几次冲突。
紗世,也许我们该在局势升温前与“剑契”和谈一番。
黑云会成员甲,咳唔哦……
黑云会成员乙,大小姐，快逃……
銀,你是什么人？
塔尼娅,您几位好啊？
塔尼娅,生意进展得如何了？
紗世,她的脑袋是，狗？黑皮狗头人？
紗世,难道现在的年轻人都好这一口？
楊,副会长，她可能是最近被称为“狼之时刻”的那个家伙。
紗世,哦呀？不是狗而是狼吗？可这怎么看都是一副狗崽子样呢？
塔尼娅,觉得很好笑？行，那趁现在可劲儿笑。
塔尼娅,你们黑云会的喽啰，加起来大概只有百来号吧？
銀,哼，说得像你能以一敌百似的。
塔尼娅,嚯，老娘正有此意。
紗世,该管教管教这头丧门犬了。
塔尼娅,唉哟，一群菜逼。
塔尼娅,哪怕还没变成这副模样，老娘也能拿你们当虫子碾。
塔尼娅,没断气的都给老娘跪端正了。
塔尼娅,已经死翘翘的就晾一边去。
紗世,……你想要什么？
塔尼娅,哎哟，老娘想要的东西可多了。
塔尼娅,比方说，大把大把的钞票啊。
塔尼娅,在巢里美美地住上一阵子啊。
塔尼娅,……不过呢，在此之前还想玩玩音乐。
黑云会成员甲,疯了疯了……快闭上你那狗嘴吧……
塔尼娅,哇哦~这死人脑袋一脚能踢这么远啊？
銀,你想要我们做什么？
塔尼娅,啊，哦，想要你们做什么？
塔尼娅,不错，说到点子上了。
塔尼娅,首先，你们手里有面料吧？交出来。
紗世,……你可知道，这匹诺沃面料是拇指委托的？
塔尼娅,我们头儿对那东西很感兴趣，据说是质量上乘的面料？
塔尼娅,演奏之前大家可都盼着量身定做一套衣服呢。
銀,与拇指为敌的下场，你不会不知道吧？
