Character Name,Dialogue
罗兰,果然在图书馆里不能像曾经的殷红迷雾那样发挥实力了？
Gebura,看来是这样。卡莉和我并不能完全算作同一个人。
罗兰,殷红迷雾时期和现在比起来有什么区别吗？
Gebura,我曾经能如臂使指地挥动E.G.O。
Gebura,大概在都市里也是独一无二的吧。
Gebura,随心所动的武器和护甲。谁能想到会有这种东西呢？
Gebura,现在可就不能那么自如地使用E.G.O了。
罗兰,现在司书也能用E.G.O的吧？
Gebura,话是这么说。但那可不是完全掌控着E.G.O在战斗。
Gebura,只是暂借的。异想体……那儿。
罗兰,也就是说……我们是从那帮叫异想体的怪物那里借来使用E.G.O的力量。
Gebura,没错。我们还没能完全掌控它们。
罗兰,殷红迷雾就做到了？
Gebura,虽然我曾经使用的武器是提取自他人的E.G.O，不过护甲倒是我自己的E.G.O。
Gebura,极大地增强了我的战力。
罗兰,这能有谁知道。
罗兰,与心灵共鸣的武器和护甲……这还不切得人还不了手。
Gebura,哪有那么简单。顾名思义，与心灵共鸣倒是有可能遭受反噬。
罗兰,被吞噬的话就会发生扭曲吗？
Gebura,恐怕如此。
Gebura,每次使用E.G.O的时候，似乎总有什么人在和我搭话。
Gebura,那些话语是我所渴求的，又不愿听清的。
Gebura,似乎稍有恍惚便会被洪流卷走一般。
罗兰,我不太懂。就像你说的那样，我们在这用的E.G.O应该是事先被安吉拉调整过的。
Gebura,我挺担心那些在外头使用E.G.O的家伙。
罗兰,这么牛逼的装备从谁那儿搞到的呀？
Gebura,……卡门。
罗兰,就是那位想要治愈人类领头研究的人吧。
Gebura,没错。尽管卡门是巢出身，她也从不遮掩她热情洋溢的演讲，无论在巢还是后巷。
Gebura,我觉得她就是在死亡的边缘试探。
罗兰,于是你看不下去帮了一把？
Gebura,想得美。我还没单纯到给人打白工。
Gebura,我就是挺好奇的，一个从巢里出来的人能知道多少都市的苦难，怎么能那么热情澎湃。
Gebura,她可是大言不惭地声称能够斩断都市中痛苦的循环。
Gebura,我很愤怒。那种大小姐能懂个屁，之类的。
Gebura,我抓住了她，向她怒斥，你又知道多少后巷的痛苦，尽在那一派胡言。
Gebura,我本以为卡门会被吓哭，没想到她却厚颜无耻向我反问。
Gebura,你对巢中的痛苦又知晓几分。
Gebura,我来告诉你巢中的痛苦，而作为回报，请你告诉我你在后巷中遭受的苦难。
Gebura,真是太不要脸了。我可不喜欢这种没什么力量又要硬出头的行为。
Gebura,但她的眼睛和声音却那么有力。
Gebura,即使是手无缚鸡之力的家伙，只要意志坚定，也能获得足以撕裂首脑的力量。
Gebura,她要为人们带来这种自发获得力量的心灵治疗。
Gebura,她给我留了张名片，让我感兴趣的话就随她一起。
罗兰,那时你还没被赋予颜色？
Gebura,没错，还是个2阶收尾人。
罗兰,2阶收尾人也会被这种歪理邪说给唬住？
Gebura,不，恰恰相反。我见过太多骗子了，唯独卡门不同。
罗兰,到底是个什么人啊。
Gebura,所以我决定赌在卡门身上。
Gebura,如果让我来守护这家伙，说不定世界会因此改变。
Gebura,要经历我曾遭受的那些苦难的人，能少一个是一个。
罗兰,然后你就干起了收尾人慈善事业。
罗兰,写下了离奇的神话，被赋予了色彩。
Gebura,那都只是顺带的。
Gebura,我的工作本身就充满意义。
罗兰,果然太强了。也有点儿傻。
Gebura,说这话的人可不少。
罗兰,谢谢您和我说了这么多。
Gebura,来一根不？
罗兰,不用啦~还有不少活要干呢。
