Character Name,Dialogue
罗兰,宗教啊宗教……这层很危险啊。
Hokma,来了啊。罗兰。
罗兰,你好Hokma。我是今后帮你带书过来的罗兰。
Hokma,还是安吉拉的侍从。
罗兰,就是这样，侍从。
Hokma,看来你对此相当满意。
罗兰,求死不得的满意又有什么意义。
罗兰,你是会怨恨我和安吉拉的那种人。
罗兰,刚见面就是这么高压的姿态。
Hokma,我对你们不会以礼相待。
Hokma,我的信仰早已支离破碎。
罗兰,你肯定能和Yesod聊得来。
Hokma,……我的一生只为一人的愿望奉献。
罗兰,而安吉拉，残忍地毁掉了那个愿望。
罗兰,而我在给那个安吉拉打下手，就不可原谅。
Hokma,……
罗兰,再怎么说，双方不都握手言和达成一致了嘛？
罗兰,帮她建好图书馆，拿到至理之书，不就完事了？
Hokma,你相信安吉拉所说的至理之书真实存在吗。
罗兰,什么啊？不就是为了这书到处在找吗……
Hokma,坚信邀请函将指向那本至理之书。
Hokma,便如此轻信了那个邀请函和安吉拉？
Hokma,以及你能重获自由。
罗兰,那当然了……图书馆确实在不断地扩张，而安吉拉和其他司书不也在渐渐改变吗？
Hokma,这就是你信任的依据。
Hokma,了不起。
罗兰,你想说什么？
Hokma,还是再带些书来吧。
Hokma,已经无聊够久了。
