Character Name,Dialogue
Gebura,在我面前就别摆出那副狡黠圆滑的面孔了。
Chesed,唉~又开始了。
Gebura,呵……铁盒子时的你都比现在来的要好。
Chesed,哦？真的吗？真难得呀~竟然得到了你Gebura的称赞……我今天的运气好好哦~？
Gebura,啊？那不是在夸你……
Tiphereth,行了行了，你们二位别再吵了。有意思吗？不觉得烦吗？
Gebura,……这蓝毛混球一直在冲咖啡。
Gebura,你冲的那玩意就真的有那么好喝吗？
Chesed,习惯下来后味道其实还蛮不错的呦~
Gebura,得了，那你自己纵情畅饮去吧，可别带上我。我可不想习惯。
Chesed,别这样呀~我可是特意为你们准备了甜甜的咖啡呢……看在我这么有诚意的份上还请品尝一下嘛~
Gebura,呃……这是那个玛格丽特是吗？
Chesed,对对。就是那个~
Chesed,虽然它的名字应该叫玛奇朵才对……
Gebura,……反正不是那名儿就是这名儿。这东西倒还挺值得一尝的。
Tiphereth,我倒是不太喜欢，焦糖味太重了……
Chesed,所以我这次也准备了维也纳~这款咖啡应该就没问题了。
Tiphereth,多谢关心……不过你为什么总是要向我们推荐各种各样的咖啡呢？
Chesed,嗯~或许是因为身边能够多出几个懂得咖啡味道的朋友会让我很高兴？
Tiphereth,我倒是不介意和你一起喝咖啡啦。只有Gebura一直对这件事蛮执着的呢。
Gebura,对此我也很好奇。
Chesed,嗯……该怎么说呢。
Chesed,是因为……Gebura你的……
Chesed,反应很有趣？
Gebura,啥？
Tiphereth,……
Chesed,气氛怎么突然变得这么恐怖了呀……我是开玩笑的啦~
Chesed,以品尝咖啡为借口聚一聚不是挺好的嘛~？
Chesed,没有什么繁杂琐碎的多余理由，只是为了一杯咖啡而聚在一起~
Tiphereth,如果没有这样的活动，我们多半只会在各自的楼层呆着，各做各的事吧……
Gebura,那为啥非要以喝咖啡为借口呢？别的也行吧？
Tiphereth,是因为你找不出其他借口吗？
Chesed,哎呀，正中我的要害呀~
Gebura,也罢。若是为了这样的原由，那我经常带着Tiphereth出来露露面儿不就得了。
Tiphereth,虽然我们彼此间的关系并没有那么亲密就是啦……
Tiphereth,说实话，我觉得你通过找借口来让我们聚在一起这件事蛮好笑的。
Chesed,无可否认，但我很荣幸能这样做~
Chesed,所以……这杯咖啡你还想尝一尝吗？
Tiphereth,既然你费心费力地准备了这些，那便也没有什么拒绝的你的理由啦！
